,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
280,2024-04-20 02:11:00,78.956,79.206,79.206,78.867,175284.0,1713550260,,,,,,,,,,,6.155774943625495,0.8186652268337333,0.3930000000000007,14.00116955703376,-32.9692571830962,0,0,100467.935,,,78.956:634.0;,-203.5139999999987,
24,2024-06-21 21:55:00,125.46,124.97,125.46,124.97,2464024.0,1718978100,1.0,,,,,,,,1.0,,-13.7201498832858,7.549272116311485,1.4226428571428542,14.17295246274884,-76.43822277872134,1,0,50283.935,125.46:400.0;,125.46:400.0;,,0.0,125.46;
53,2024-06-21 22:24:00,125.715,126.04,126.04,125.715,1007264.0,1718979840,,,,,,,,,,,48.7442855442417,13.645424952666415,1.5157857142857103,8.07516086468641,-31.158897370809157,0,0,100569.935,,,125.715:400.0;,102.00000000000387,
15,2024-06-24 21:46:00,122.841,122.87,122.94,122.46,2619520.0,1719236760,1.0,,,,,,,,,,5.822589248124075,6.77086745480738,0.9230714285714268,4.376084287804588,-73.88702227307208,1,0,50327.966,122.841:409.0;,122.841:409.0;,,0.0,122.841;
19,2024-06-24 21:50:00,122.175,121.67,122.175,121.635,4382836.0,1719237000,,,,,,,,,,,-3.528491798456784,4.025394225831235,1.0394999999999988,4.376084287804588,-76.34871187226699,0,0,100297.541,,,122.175:409.0;,-272.3939999999987,
21,2024-06-24 21:52:00,121.8,122.255,122.255,121.8,2113144.0,1719237120,,,,,,,,,1.0,,-4.720973673252516,4.025394225831235,1.0394999999999988,4.376084287804588,-77.11998508207427,1,0,50115.941,121.8:412.0;,121.8:412.0;,,0.0,121.8;
46,2024-06-24 22:17:00,122.68,122.77,122.8,122.591,953840.0,1719238620,,,,,,,,,,,34.36615630036089,13.509223829174047,1.2302857142857124,2.0946456828208966,-32.36873783840055,0,0,100660.101,,,122.68:412.0;,362.560000000004,
61,2024-06-24 22:32:00,121.45,121.57,121.665,121.45,1887544.0,1719239520,,,,,,,1.0,,,,14.264655457689535,8.247013598235569,1.2933571428571429,-0.8467088734686286,-75.7194276705596,1,0,50379.80099999999,121.45:414.0;,121.45:414.0;,,0.0,121.45;
72,2024-06-24 22:43:00,120.738,120.535,120.738,120.535,2025360.0,1719240180,,,,,,,,,,,7.764080938327119,6.335410492290777,1.215357142857142,-0.8467088734686286,-72.8617639227048,0,0,100365.33299999998,,,120.738:414.0;,-294.7680000000014,
81,2024-06-24 22:52:00,118.98,119.145,119.164,118.98,2628896.0,1719240720,,,1.0,,,,,,,,-0.719493180054755,1.9247153517032205,1.1076428571428565,-0.8467088734686286,-73.22955926580511,1,0,50155.77299999998,118.98:422.0;,118.98:422.0;,,0.0,118.98;
