,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
210,2024-04-18 01:01:00,84.649,84.717,84.731,84.649,123740.0,104404992.0,1713373260,,,,,,,,,,,42.064474758788826,-12.613446999743104,0.2812857142857154,8.211060027789003,75.8019664178393,0,0,100187.37199999994,,,84.649:592.0;,55.6479999999965,
8,2024-04-18 21:39:00,83.52,83.02,83.52,83.02,452798.0,376848640.0,1713447540,1.0,,,,,,,,1.0,,13.026996965823116,16.62140427822284,0.671999999999999,4.39544766459391,-75.48830199919814,1,0,50158.89199999995,83.52:599.0;,83.52:599.0;,,0.0,83.52;
9,2024-04-18 21:40:00,82.905,82.604,82.905,82.604,912061.0,754240512.0,1713447600,,,,,,,,,,,9.256743450533603,12.839730020471784,0.7764285714285707,4.39544766459391,-76.88601574150636,0,0,99818.98699999995,,,82.905:599.0;,-368.3849999999969,
11,2024-04-18 21:42:00,82.981,83.286,83.286,82.944,417055.0,346831360.0,1713447720,,,,,,,1.0,,,,6.912949822426299,12.839730020471784,0.7764285714285707,4.39544766459391,-76.00061361581865,1,0,49781.44399999995,82.981:603.0;,82.981:603.0;,,0.0,82.981;
18,2024-04-18 21:49:00,84.187,84.563,84.563,84.165,347333.0,293166592.0,1713448140,,1.0,,,,,,,,,21.207148134477208,14.226570340392025,0.8437142857142855,4.39544766459391,75.81348313310451,0,1,75205.91799999995,82.981:301.0;,,84.187:302;,364.2120000000009,84.35;
31,2024-04-18 22:02:00,83.893,84.087,84.087,83.893,214804.0,180297728.0,1713448920,,,,,,,,,,,34.78369095464122,22.68399850709291,0.9249285714285724,5.236046123242446,52.20244999149656,0,0,100457.71099999995,,,83.893:301.0;,274.5120000000019,
278,2024-04-20 02:09:00,79.277,79.044,79.277,79.033,294208.0,232370176.0,1713550140,,,,,1.0,,,,,,-0.2201610327057395,0.1166044841711055,0.3509285714285722,14.00116955703376,-60.38356990910549,1,0,50275.36999999995,79.277:633.0;,79.277:633.0;,,0.0,79.277;
279,2024-04-20 02:10:00,78.996,78.933,79.122,78.933,216988.0,170905600.0,1713550200,,,,,,,,,,,1.7383891985196414,0.8186652268337333,0.3930000000000007,14.00116955703376,-40.36790447929824,0,0,100279.83799999995,,,78.996:633.0;,-177.87300000000374,
24,2024-06-21 21:55:00,125.46,124.97,125.46,124.97,2464024.0,307318784.0,1718978100,1.0,,,,,,,,1.0,,-13.7201498832858,7.549272116311485,1.4226428571428542,14.17295246274884,-76.43822277872134,1,0,50221.297999999944,125.46:399.0;,125.46:399.0;,,0.0,125.46;
53,2024-06-21 22:24:00,125.715,126.04,126.04,125.715,1007264.0,126058496.0,1718979840,,,,,,,,,,,48.7442855442417,13.645424952666415,1.5157857142857103,8.07516086468641,-31.158897370809157,0,0,100381.58299999996,,,125.715:399.0;,101.74500000000386,
15,2024-06-24 21:46:00,122.841,122.87,122.94,122.46,2619520.0,320923648.0,1719236760,1.0,,,,,,,,,,5.822589248124075,6.77086745480738,0.9230714285714268,4.376084287804588,-73.88702227307208,1,0,50262.45499999996,122.841:408.0;,122.841:408.0;,,0.0,122.841;
19,2024-06-24 21:50:00,122.175,121.67,122.175,121.635,4382836.0,533691904.0,1719237000,,,,,,,,,,,-3.528491798456784,4.025394225831235,1.0394999999999988,4.376084287804588,-76.34871187226699,0,0,100109.85499999995,,,122.175:408.0;,-271.7279999999987,
21,2024-06-24 21:52:00,121.8,122.255,122.255,121.8,2113144.0,257652736.0,1719237120,,,,,,,,,1.0,,-4.720973673252516,4.025394225831235,1.0394999999999988,4.376084287804588,-77.11998508207427,1,0,49928.254999999954,121.8:412.0;,121.8:412.0;,,0.0,121.8;
45,2024-06-24 22:16:00,122.82,122.44,122.82,122.44,1317128.0,161320960.0,1719238560,,,,,,,,,,,31.350765705815363,13.509223829174047,1.2302857142857124,2.0946456828208966,6.095847911741767,0,0,100530.09499999994,,,122.82:412.0;,420.23999999999836,
61,2024-06-24 22:32:00,121.45,121.57,121.665,121.45,1887544.0,229396480.0,1719239520,,,,,,,1.0,,,,14.264655457689535,8.247013598235569,1.2933571428571429,-0.8467088734686286,-75.7194276705596,1,0,50371.244999999944,121.45:413.0;,121.45:413.0;,,0.0,121.45;
71,2024-06-24 22:42:00,120.91,120.939,121.05,120.88,1447368.0,174954496.0,1719240120,,,,,,,,,,,10.97769748495528,6.335410492290777,1.215357142857142,-0.8467088734686286,-71.55115148251576,0,0,100307.07499999995,,,120.91:413.0;,-223.0200000000026,
