,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao
188,2023-09-26 00:39:00,245.933,246.01,246.02,245.89,195640,1695659940,,,,,,,,,,,64.89003914367055,104.42825709143344,9.835398917943103,-48.566811881688984
189,2023-09-26 00:40:00,245.935,245.81,245.955,245.81,116528,1695660000,,,,,,,,,,,58.75897690949131,104.6716668044824,9.835398917943103,-52.949055828100306
190,2023-09-26 00:41:00,245.85,246.162,246.189,245.85,209240,1695660060,,,,,,,,,,,56.74529118224797,104.6716668044824,9.835398917943103,-58.094642871400524
191,2023-09-26 00:42:00,246.0,246.13,246.13,245.87,155560,1695660120,,,,,,,,,,,54.677744431469165,104.6716668044824,9.835398917943103,-55.65775607397579
192,2023-09-26 00:43:00,246.378,246.22,246.378,246.21,226904,1695660180,,,,,,,,,,,53.74997461637096,104.6716668044824,9.835398917943103,-54.06468875565041
193,2023-09-26 00:44:00,246.22,246.237,246.32,246.175,128448,1695660240,,,,,,,,,,,53.13062785647202,104.6716668044824,9.835398917943103,-50.78042672642215
194,2023-09-26 00:45:00,246.22,246.17,246.329,246.155,152744,1695660300,,,,,,,,,,,51.97082554702337,106.0810660569416,9.835398917943103,-47.51985527655695
195,2023-09-26 00:46:00,246.05,246.13,246.13,246.01,137160,1695660360,,,,,,,,,,,50.592445217539336,106.0810660569416,9.835398917943103,-46.45322792774911
196,2023-09-26 00:47:00,246.07,245.77,246.16,245.77,118704,1695660420,,,,,,,,,,,45.91325411564401,106.0810660569416,9.835398917943103,-46.364562900956074
197,2023-09-26 00:48:00,245.676,245.649,245.676,245.63,235984,1695660480,,,,,,,,,,,40.61909804190529,106.0810660569416,9.835398917943103,-53.92695323834713
198,2023-09-26 00:49:00,245.68,245.78,245.83,245.62,183640,1695660540,,,,,,,,,,,37.23259709575001,106.0810660569416,9.835398917943103,-59.29337278468814
199,2023-09-26 00:50:00,245.67,245.56,245.8,245.56,126104,1695660600,,,,,,,,,,,32.143974719862484,106.7746588635362,9.835398917943103,-60.14571663932507
200,2023-09-26 00:51:00,245.4,245.146,245.4,245.146,283000,1695660660,,,,,,,,,,,23.66162721747969,106.7746588635362,9.835398917943103,-63.199139152907065
201,2023-09-26 00:52:00,244.96,244.87,244.96,244.794,353592,1695660720,,,,,,,,,,,15.974252268151986,106.7746588635362,9.835398917943103,-69.37661780660758
202,2023-09-26 00:53:00,244.89,244.675,244.89,244.65,255256,1695660780,,,,,,,,,,,8.771979206965142,106.7746588635362,9.835398917943103,-73.58534855390977
203,2023-09-26 00:54:00,244.653,244.763,244.86,244.653,205208,1695660840,,,,,,,,,,,3.171807865493264,106.7746588635362,9.835398917943103,-75.78204170789708
204,2023-09-26 00:55:00,244.805,245.01,245.01,244.805,178848,1695660900,,,,,,,,,,,0.2880412163503081,106.0586136507111,9.835398917943103,-76.67851277390761
205,2023-09-26 00:56:00,244.97,244.83,245.0,244.83,262232,1695660960,,,,,,,,,,,-3.6063727683323634,106.0586136507111,9.835398917943103,-76.35493694213424
206,2023-09-26 00:57:00,244.8,244.927,244.947,244.79,181872,1695661020,,,,,,,,,,,-6.16858951601904,106.0586136507111,9.835398917943103,-76.75593582319283
207,2023-09-26 00:58:00,245.119,244.86,245.249,244.853,270144,1695661080,,,,,,,,,,,-8.86044728621323,106.0586136507111,9.835398917943103,-76.62266698457886
208,2023-09-26 00:59:00,244.844,245.058,245.058,244.844,123072,1695661140,,,,,,,,,,,-9.533413330135048,106.0586136507111,9.835398917943103,-76.75389372902643
209,2023-09-26 01:00:00,245.04,245.19,245.22,245.04,147960,1695661200,,,,,,,,,,,-8.938744486694617,105.70201896799006,11.239478209853807,-75.93422078918097
210,2023-09-26 01:01:00,245.09,245.199,245.199,245.089,124032,1695661260,,,,,,,,,,,-8.20752041225721,105.70201896799006,11.239478209853807,-74.47924413886872
211,2023-09-26 01:02:00,245.301,245.27,245.31,245.147,170944,1695661320,,,,,,,,,,,-6.860006648271792,105.70201896799006,11.239478209853807,-73.10202516054179
212,2023-09-26 01:03:00,245.355,245.189,245.43,245.189,179664,1695661380,,,,,,,,,,,-6.191449599523651,105.70201896799006,11.239478209853807,-71.24229100580638
213,2023-09-26 01:04:00,245.18,245.276,245.276,245.18,117808,1695661440,,,,,,,,,,,-4.570721960085919,105.70201896799006,11.239478209853807,-70.41739233876766
214,2023-09-26 01:05:00,245.245,244.95,245.29,244.95,140976,1695661500,,,,,,,,,,,-5.749100101253887,104.74165307786215,11.239478209853807,-68.61739362076644
215,2023-09-26 01:06:00,244.958,245.084,245.084,244.91,143024,1695661560,,,,,,,,,,,-5.568370423854688,104.74165307786215,11.239478209853807,-71.00206584093934
216,2023-09-26 01:07:00,245.09,245.403,245.403,245.066,205264,1695661620,,,,,,,,,,,-2.6277069486062032,104.74165307786215,11.239478209853807,-70.91992523045751
