,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao
202,2024-07-13 00:53:00,130.3,130.361,130.37,130.3,187696,24358912.0,1720803180,,,,,,,,,,,107.15553879163149,72.96418037466019,0.4013571428571469,-0.5766485237411416,62.2657070238241
203,2024-07-13 00:54:00,130.4,130.505,130.505,130.363,592304,77111296.0,1720803240,,,,,,,,,,,110.10037185054205,72.96418037466019,0.4013571428571469,-0.5766485237411416,61.95183506973845
204,2024-07-13 00:55:00,130.5,130.5,130.501,130.476,304176,39544832.0,1720803300,,,,,,,,,,,112.53838262804126,73.72890988010649,0.3997857142857169,-0.5766485237411416,65.13427892661409
205,2024-07-13 00:56:00,130.494,130.49,130.5,130.45,278752,36261888.0,1720803360,,,,,,,,,,,114.43976809364942,73.72890988010649,0.3997857142857169,-0.5766485237411416,66.11698564708078
206,2024-07-13 00:57:00,130.49,130.5,130.5,130.453,213296,27719680.0,1720803420,,,,,,,,,,,116.1909131835805,73.72890988010649,0.3997857142857169,-0.5766485237411416,65.91879856912355
207,2024-07-13 00:58:00,130.48,130.492,130.53,130.48,248784,32352256.0,1720803480,,,,,,,,,,,117.11200952740296,73.72890988010649,0.3997857142857169,-0.5766485237411416,65.45951012202653
208,2024-07-13 00:59:00,130.49,130.44,130.5,130.44,261056,33941504.0,1720803540,,,,,,,,,,,116.98545014822349,73.72890988010649,0.3997857142857169,-0.5766485237411416,64.42305398245145
209,2024-07-13 01:00:00,130.475,130.4,130.475,130.4,164640,21319680.0,1720803600,,,,,,,,,,,116.12085590599628,74.07441477381177,0.37800000000000217,0.9221674598541654,61.82194598157844
210,2024-07-13 01:01:00,130.45,130.37,130.45,130.36,201696,26159104.0,1720803660,,,,,,,,,,,114.70558026503451,74.07441477381177,0.37800000000000217,0.9221674598541654,58.08040178537208
211,2024-07-13 01:02:00,130.42,130.34,130.42,130.27,373024,48467968.0,1720803720,,,,,,,,,,,112.75663961203412,74.07441477381177,0.37800000000000217,0.9221674598541654,53.45940562258258
212,2024-07-13 01:03:00,130.35,130.34,130.37,130.3,129360,16742400.0,1720803780,,,,,,,,,,,110.22926664532301,74.07441477381177,0.37800000000000217,0.9221674598541654,48.38183819594399
213,2024-07-13 01:04:00,130.34,130.439,130.44,130.332,208992,27123712.0,1720803840,,,,,,,,,,,109.93629467890042,74.07441477381177,0.37800000000000217,0.9221674598541654,43.97928143059886
214,2024-07-13 01:05:00,130.4,130.375,130.4,130.33,123456,15996928.0,1720803900,,,,,,,,,,,108.25351186713303,74.27271063625022,0.37128571428571483,0.9221674598541654,46.26247976035797
215,2024-07-13 01:06:00,130.301,130.47,130.477,130.301,292704,38064128.0,1720803960,,,,,,,,,,,108.56408157706366,74.27271063625022,0.37128571428571483,0.9221674598541654,47.505412860165805
216,2024-07-13 01:07:00,130.482,130.47,130.5,130.46,180176,23388160.0,1720804020,,,,,,,,,,,108.5705196407261,74.27271063625022,0.37128571428571483,0.9221674598541654,55.213535164173265
217,2024-07-13 01:08:00,130.488,130.463,130.488,130.45,166352,21608448.0,1720804080,,,,,,,,,,,108.02868714017069,74.27271063625022,0.37128571428571483,0.9221674598541654,59.09392145036102
218,2024-07-13 01:09:00,130.42,130.48,130.48,130.42,128544,16701440.0,1720804140,,,,,,,,,,,107.9163562429897,74.27271063625022,0.37128571428571483,0.9221674598541654,60.32379716361173
219,2024-07-13 01:10:00,130.495,130.49,130.5,130.46,169408,22003712.0,1720804200,,,,,,,,,,,108.05883179846279,74.76301263821539,0.33414285714285896,0.9221674598541654,60.95506777626266
220,2024-07-13 01:11:00,130.485,130.5,130.5,130.48,241536,31397888.0,1720804260,,,,,,,,,,,108.4298891785352,74.76301263821539,0.33414285714285896,0.9221674598541654,61.03145857781375
221,2024-07-13 01:12:00,130.525,130.55,130.55,130.48,267920,34824192.0,1720804320,,,,,,,,,,,109.62919517842286,74.76301263821539,0.33414285714285896,0.9221674598541654,60.774851808523934
222,2024-07-13 01:13:00,130.533,130.505,130.57,130.505,231792,30132224.0,1720804380,,,,,,,,,,,108.72879641621168,74.76301263821539,0.33414285714285896,0.9221674598541654,60.87998353908052
223,2024-07-13 01:14:00,130.48,130.56,130.58,130.47,266656,34652160.0,1720804440,,,,,,,,,,,109.18724115604891,74.76301263821539,0.33414285714285896,0.9221674598541654,58.46520653888051
224,2024-07-13 01:15:00,130.55,130.53,130.55,130.51,155312,20142080.0,1720804500,,,,,,,,,,,108.66760204873142,78.91804594383358,0.3030000000000034,0.9221674598541654,57.65561222055731
225,2024-07-13 01:16:00,130.528,130.55,130.56,130.528,196544,25548800.0,1720804560,,,,,,,,,,,108.71940239814674,78.91804594383358,0.3030000000000034,0.9221674598541654,55.513621303005856
226,2024-07-13 01:17:00,130.54,130.425,130.545,130.425,180752,23435264.0,1720804620,,,,,,,,,,,105.10251208821455,78.91804594383358,0.3030000000000034,0.9221674598541654,54.174448530700225
227,2024-07-13 01:18:00,130.44,130.51,130.51,130.415,245040,31803392.0,1720804680,,,,,,,,,,,104.27535856041393,78.91804594383358,0.3030000000000034,0.9221674598541654,47.279322054240126
228,2024-07-13 01:19:00,130.47,130.49,130.5,130.45,164624,21360640.0,1720804740,,,,,,,,,,,102.73246040766213,78.91804594383358,0.3030000000000034,0.9221674598541654,45.823338657252
229,2024-07-13 01:20:00,130.51,130.45,130.51,130.45,134928,17543168.0,1720804800,,,,,,,,,,,99.8750350471689,81.71111270463184,0.2622857142857181,0.9221674598541654,43.18769006955106
230,2024-07-13 01:21:00,130.434,130.39,130.434,130.37,277744,36063232.0,1720804860,,,,,,,,,,,94.51654383363936,81.71111270463184,0.2622857142857181,0.9221674598541654,38.40064726831425
231,2024-07-13 01:22:00,130.445,130.51,130.53,130.445,295232,38389760.0,1720804920,,,,,,,,,,,94.12093676290078,81.71111270463184,0.2622857142857181,0.9221674598541654,30.154978628796766
