,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
138,2024-01-20 00:49:00,207.93,207.92,207.947,207.82,214736.0,44527616.0,1705682940,,,,,,,1.0,,1.0,,12.754613695268231,10.85418763736807,0.7487142857142837,15.436557843012444,-75.87328252669396,1,0,49800.869,207.93:238.0;,207.93:238.0;,,0.0,207.93;
196,2024-01-20 01:47:00,209.3,209.268,209.3,209.268,192256.0,40119296.0,1705686420,,,,,,,,,,,93.1907473638185,18.697984117687227,0.5094285714285759,13.919950005112184,39.08338787146575,0,0,99614.269,,,209.3:238.0;,326.0600000000011,
150,2024-01-26 01:01:00,184.284,184.167,184.359,184.167,494600.0,90732544.0,1706202060,,,,,,,1.0,,,,-2.3036603768703685,-8.467573607481611,0.6245714285714244,15.379191330030828,-78.09379532180151,1,0,49857.589,184.284:270.0;,184.284:270.0;,,0.0,184.284;
153,2024-01-26 01:04:00,183.611,183.94,183.94,183.611,565192.0,103374848.0,1706202240,,,,,,,,,,,-7.5687622757665025,-8.467573607481611,0.6245714285714244,15.379191330030828,-78.87208044520519,0,0,99432.559,,,183.611:270.0;,-181.7100000000005,
154,2024-01-26 01:05:00,183.979,183.89,183.979,183.835,390592.0,71442432.0,1706202300,,,,,1.0,,,,,,-7.776825315461252,-8.388652628798642,0.6215714285714264,15.379191330030828,-76.14077156587899,1,0,49758.22899999999,183.979:270.0;,183.979:270.0;,,0.0,183.979;
157,2024-01-26 01:08:00,183.34,183.22,183.34,183.22,410008.0,74815488.0,1706202480,,,,,,,,,,,-11.405796370797006,-8.388652628798642,0.6215714285714264,15.379191330030828,-75.15890020825664,0,0,99260.029,,,183.34:270.0;,-172.5300000000027,
184,2024-01-26 01:35:00,180.17,180.5,180.5,180.08,991008.0,178421760.0,1706204100,,,1.0,,,,,,,,-7.396701393631128,-7.854555423953112,0.7435000000000015,11.829600679374948,-77.32485698499076,1,0,49533.109,180.17:276.0;,180.17:276.0;,,0.0,180.17;
227,2024-01-26 02:18:00,181.06,180.97,181.06,180.85,651568.0,117571584.0,1706206680,,,,,,,,,,,96.85570924331536,-0.7081288662709149,0.7204285714285723,9.411388970527398,53.791836714899176,0,0,99505.669,,,181.06:276.0;,245.64000000000408,
285,2024-02-14 03:16:00,182.556,182.75,182.75,182.556,297480.0,54285312.0,1707851760,,,,,,,,,1.0,,-19.281004640732554,6.68376091194267,0.3658571428571459,-9.107890176930312,-78.02326739471467,1,0,49850.43699999999,182.556:272.0;,182.556:272.0;,,0.0,182.556;
315,2024-02-14 03:46:00,183.05,182.93,183.056,182.93,162704.0,29765632.0,1707853560,,,,,,,,,,,68.08161888643005,8.692930676412182,0.3508571428571412,-12.35187914769584,61.921199774117966,0,0,99640.037,,,183.05:272.0;,134.36799999999994,
326,2024-02-14 03:57:00,182.34,182.461,182.533,182.34,312544.0,57003008.0,1707854220,,,,,,,1.0,,,,11.809900821076036,3.1829630468688563,0.3532857142857141,-12.35187914769584,-77.38391856501784,1,0,50043.55699999999,182.34:272.0;,182.34:272.0;,,0.0,182.34;
