,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
100,2023-09-11 23:11:00,86.805,86.94,86.94,86.805,66377.0,1694445060,,,,,1.0,,,,,,1.119242426769386,-18.85150565109336,9.639388688582676,-74.32209667376027,1,0,50003.34200000002,86.805:579.0;,86.805:579.0;,,0.0,86.805;
282,2023-09-12 02:13:00,87.94,87.985,87.985,87.94,10448.0,1694455980,,,,,,,,,,,-8.245756739699914,98.5255272659828,12.17194241451246,-64.36442010956897,0,0,100920.60200000001,,,87.94:579.0;,657.1649999999947,
67,2023-10-05 22:38:00,81.69,81.7,81.71,81.69,33035.0,1696516680,1.0,,,,,,,,,,7.850810534716992,7.8928795065687325,2.2501925464097,-76.32856641069723,1,0,50517.87200000002,81.69:617.0;,81.69:617.0;,,0.0,81.69;
273,2023-10-06 02:04:00,82.345,82.345,82.35,82.34,8969.0,1696529040,,1.0,,,,,,,,,93.21132061398058,95.1726455722797,3.5033298678510647,12.105073521450446,0,1,75962.47700000001,81.69:308.0;,,82.345:309;,202.39500000000035,82.36;
386,2023-10-06 03:57:00,82.565,82.595,82.595,82.561,46339.0,1696535820,,,,,,,,,,,98.48540027346948,121.92485091598118,10.657595033101265,-15.822863238668518,0,0,101392.49700000002,,,82.565:308.0;,269.5,82.655;
167,2023-10-21 00:18:00,78.9,78.898,78.91,78.895,20851.0,1697818680,1.0,,,,,,,,,,11.47462209729683,-10.150467898260176,9.696057480330277,-40.76346109024165,1,0,50738.697000000015,78.9:642.0;,78.9:642.0;,,0.0,78.9;
288,2023-10-21 02:19:00,78.945,78.92,78.945,78.91,17342.0,1697825940,,,,,,,,,,,1.3303227283884098,42.714478512814544,4.054724636680305,-68.00567875135259,0,0,101421.38700000002,,,78.945:642.0;,28.88999999999197,
63,2023-11-09 23:34:00,82.92,82.919,82.925,82.9,17959.0,1699544040,1.0,,,,,,,,,,-5.3131878433677,19.36011463954003,11.144982233483304,-76.13759731286277,1,0,50757.267000000014,82.92:611.0;,82.92:611.0;,,0.0,82.92;
77,2023-11-09 23:48:00,82.675,82.75,82.75,82.675,34564.0,1699544880,,,,,,,,,,,-2.96904595362566,8.139135107479795,11.144982233483304,-72.62747082280208,0,0,101271.69200000001,,,82.675:611.0;,-149.69500000000278,
185,2023-11-10 01:36:00,82.19,82.175,82.19,82.164,15135.0,1699551360,,,,,,,,,1.0,,-10.427887018978176,-7.546354233022434,-5.978562402704469,-74.95805383556255,1,0,50642.65200000001,82.19:616.0;,82.19:616.0;,,0.0,82.19;
212,2023-11-10 02:03:00,82.17,82.07,82.17,82.07,52697.0,1699552980,,,,,,,,,,,62.49229913651168,-3.50325682175335,-7.95492208723121,48.94094154044912,0,0,101259.372,,,82.17:616.0;,-12.319999999997549,
215,2023-11-10 02:06:00,82.025,81.954,82.025,81.95,31026.0,1699553160,,,,,1.0,,1.0,,,,41.26272800475807,-4.066331093402031,-7.95492208723121,-70.3256566042469,1,0,50567.922,82.025:618.0;,82.025:618.0;,,0.0,82.025;
253,2023-11-10 02:44:00,81.94,81.97,81.97,81.93,12027.0,1699555440,,,,,,,,,,,41.52104297406268,6.840131911438416,-9.17232111482332,-22.00949691791877,0,0,101206.842,,,81.94:618.0;,-52.53000000000492,
72,2023-11-10 23:43:00,80.72,80.695,80.72,80.695,20066.0,1699630980,1.0,,,,,,,,,,3.6235802932216217,18.176130764885897,-9.658587125724324,-73.34930536752339,1,0,50676.122,80.72:626.0;,80.72:626.0;,,0.0,80.72;
179,2023-11-11 01:30:00,81.63,81.63,81.64,81.62,10572.0,1699637400,,1.0,,,,,,,,,91.46026229116072,49.24194915706167,-2.989276940327855,22.906247393565124,0,1,76226.312,80.72:313.0;,,81.63:313;,284.8299999999989,81.63;
386,2023-11-11 04:57:00,81.705,81.73,81.735,81.705,47741.0,1699649820,,,,,,,,,,,85.4326142453273,108.09359089767436,10.99919690642529,-31.42291357832173,0,0,101799.97700000001,,,81.705:313.0;,308.30499999999984,81.865;
219,2023-12-07 02:10:00,71.02,71.016,71.025,71.015,60000.0,1701886200,1.0,,,,,,,,,,1.9072434226016384,3.4690183569467337,3.761753532011582,-72.53187827419605,1,0,50949.657000000014,71.02:716.0;,71.02:716.0;,,0.0,71.02;
351,2023-12-07 04:22:00,70.86,70.81,70.86,70.81,141644.0,1701894120,,,,,,,,,,,-8.512231131680565,-9.806022484007656,-2.268543925700442,-73.76881218895163,0,0,101685.41700000002,,,70.86:716.0;,-114.55999999999756,
388,2023-12-07 04:59:00,70.575,70.53,70.575,70.525,236976.0,1701896340,,,,,,,,,1.0,,2.6152730214201654,-7.586002557702088,-3.967274054917276,-72.08726971199555,1,0,101685.41700000002,,,,0.0,
149,2024-01-17 01:00:00,69.76,69.77,69.77,69.755,27802.0,1705424400,1.0,,,,,,,,,,10.313895741543114,0.1323882254236288,13.640893753101167,-75.69178441583351,1,0,50900.13700000001,69.76:728.0;,69.76:728.0;,,0.0,69.76;
165,2024-01-17 01:16:00,69.525,69.54,69.54,69.525,92677.0,1705425360,,,,,,,,,,,-4.276188078130744,-1.7780229694161207,13.640893753101167,-76.21070062814583,0,0,101514.33700000001,,,69.525:728.0;,-171.0799999999996,
383,2024-02-29 04:54:00,74.535,74.5,74.535,74.5,66851.0,1709153640,,,,,,,1.0,,,,24.465849867421056,10.694411208277096,-11.467719382111696,-55.97284967649868,1,0,50830.53700000002,74.535:680.0;,74.535:680.0;,,0.0,74.535;
386,2024-02-29 04:57:00,74.565,74.575,74.58,74.56,59204.0,1709153820,,,,,,,,,,,26.632651572281333,10.38634990028222,-11.467719382111696,-25.43974211782351,0,0,101534.73700000002,,,74.565:680.0;,20.400000000000773,74.605;
79,2024-02-29 23:50:00,74.24,74.23,74.24,74.225,21704.0,1709221800,1.0,,,,,,,,,,0.4133292956229581,19.887783461425265,-23.44378133746432,-74.5507709818766,1,0,50828.817000000025,74.24:683.0;,74.24:683.0;,,0.0,74.24;
130,2024-03-01 00:41:00,74.037,74.07,74.07,74.035,19902.0,1709224860,,,,,,,,,,,28.98321980740033,10.786956028104282,-27.74354897920192,-53.2246371750413,0,0,101396.08800000002,,,74.037:683.0;,-138.64899999999233,
371,2024-03-01 04:42:00,73.82,73.83,73.83,73.82,24699.0,1709239320,,,,,1.0,,,,,,1.1424713176242065,8.91640035904372,-33.0821502446765,-74.96275380363451,1,0,50681.74800000002,73.82:687.0;,73.82:687.0;,,0.0,73.82;
386,2024-03-01 04:57:00,74.035,74.02,74.035,74.02,45793.0,1709240220,,,,,,,,,,,78.77797848785333,16.217964997191793,-33.0821502446765,84.41935503651861,0,0,101543.79300000002,,,74.035:687.0;,147.70500000000234,74.035;
326,2024-03-15 02:57:00,73.485,73.524,73.53,73.485,15259.0,1710442620,,,,,,,1.0,,,,-17.179036105156825,8.081515900699461,-3.364420102343871,-78.38161034735246,1,0,50839.14300000002,73.485:690.0;,73.485:690.0;,,0.0,73.485;
342,2024-03-15 03:13:00,73.355,73.325,73.355,73.31,23389.0,1710443580,,,,,,,,,1.0,,-12.757567708109685,4.441430278011886,-8.996706426719697,-76.7093974134937,1,0,77.48300000001473,73.485:690.0;73.355:692.0;,73.355:692.0;,,0.0,73.54;73.355;
366,2024-03-15 03:37:00,73.305,73.245,73.307,73.234,44637.0,1710445020,,,,,,,,,,,23.89813082465261,9.562752190454976,-13.423421493854876,-60.9988155665961,0,0,50657.93300000002,73.355:692.0;,,73.305:690.0;,-124.1999999999949,73.455;
386,2024-03-15 03:57:00,73.43,73.425,73.43,73.38,144564.0,1710446220,,,,,,,,,,,92.2086320779867,21.207442679644828,-13.423421493854876,77.99004730644093,0,0,101471.49300000002,,,73.43:692.0;,51.90000000000197,73.51;
100,2024-03-25 23:11:00,71.53,71.535,71.535,71.525,17646.0,1711379460,1.0,,,,,,,,,,0.4063867820557618,-6.723948610167696,-25.777293494778945,-73.23778993202362,1,0,50756.72300000001,71.53:709.0;,71.53:709.0;,,0.0,71.53;
151,2024-03-26 00:02:00,71.425,71.43,71.445,71.425,20722.0,1711382520,,,,,,,,,,,27.62092592039916,-5.518139517192338,-30.09975562101592,-66.3600445840135,0,0,101397.04800000001,,,71.425:709.0;,-74.44500000000282,
273,2024-04-09 02:04:00,71.595,71.605,71.607,71.58,15136.0,1712599440,1.0,,,,,,,,,,-2.350416784253916,-13.76250318261704,6.600152599162513,-68.11163242111498,1,0,50707.78800000001,71.595:708.0;,71.595:708.0;,,0.0,71.595;
