,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
5,2023-08-07 21:36:00,179.53,179.46,179.53,179.37,559108.0,1691415360,1.0,,,,,,,,1.0,,-3.1922000417455365,5.320960881962762,5.024364419522101,-69.58366790252796,1,0,50000.325000000004,179.53:278.0;,179.53:278.0;,,0.0,179.53;
9,2023-08-07 21:40:00,179.443,179.39,179.443,179.36,423897.0,1691415600,,,,,,,,,,,-1.6349723988563625,4.392074819493498,5.024364419522101,-52.26799116285847,0,0,99885.479,,,179.443:278.0;,-24.185999999996966,
30,2023-08-07 22:01:00,177.425,177.485,177.53,177.425,398556.0,1691416860,,,,,,,1.0,,,,-6.930358203409639,0.5131628310579757,3.2509641981642687,-74.65983132074544,1,0,50029.054000000004,177.425:281.0;,177.425:281.0;,,0.0,177.425;
34,2023-08-07 22:05:00,177.74,177.848,177.85,177.74,369780.0,1691417100,,,,,1.0,,,,,,-2.867511650406289,0.9222713952007312,3.2509641981642687,-52.85518369497783,1,0,84.1140000000014,177.425:281.0;177.74:281.0;,177.74:281.0;,,0.0,177.74;177.74;
57,2023-08-07 22:28:00,178.305,178.21,178.305,178.18,355036.0,1691418480,,,,,,,,,,,71.39080882776587,8.436865411520682,3.2509641981642687,59.01224470923836,0,0,100291.524,,,178.305:281.0;178.305:281.0;,406.0449999999981,
40,2023-08-17 22:11:00,173.93,173.72,173.93,173.72,302248.0,1692281460,,,,,,,1.0,,1.0,,-7.616609648473613,-3.1115275924668,18.828052499251967,-74.78605898474767,1,0,50199.684,173.93:288.0;,173.93:288.0;,,0.0,173.93;
57,2023-08-17 22:28:00,173.935,173.965,174.01,173.935,91348.0,1692282480,,,,,,,,,,,12.283423100622802,-4.485867798973786,18.828052499251967,23.93050273979637,0,0,100292.964,,,173.935:288.0;,1.4399999999986903,
348,2023-09-22 03:19:00,173.66,173.67,173.69,173.628,95148.0,1695323940,1.0,,,,,,,,,,0.9463500377053152,0.1408020492969086,4.217355048404897,-76.13460415901804,1,0,50278.884000000005,173.66:288.0;,173.66:288.0;,,0.0,173.66;
386,2023-09-22 03:57:00,173.31,173.307,173.34,173.305,287736.0,1695326220,,,,,,,,,,,18.824882353142343,-3.235471079611252,0.3346998498364399,-72.40347897850513,0,0,100192.164,,,173.31:288.0;,-100.79999999999836,173.785;
384,2023-09-23 03:55:00,174.1,174.09,174.125,174.05,297448.0,1695412500,1.0,,,,,,,,,,-20.47560471193553,2.028371277714328,18.602007875772983,-77.41221449635539,1,0,50225.46400000001,174.1:287.0;,174.1:287.0;,,0.0,174.1;
