,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
38,2023-08-18 22:09:00,310.142,310.23,310.23,310.06,63380.0,1692367740,1.0,,,,,,,,,,-0.0622716766215845,7.338217032692668,-3.139259259346133,-74.85534190524253,1,0,50049.804999999964,310.142:160.0;,310.142:160.0;,,0.0,310.142;
47,2023-08-18 22:18:00,309.56,309.48,309.56,309.37,97420.0,1692368280,,,,,,,,,,,1.117144710504526,5.658959351277026,-3.139259259346133,-68.38875485543062,0,0,99579.40499999997,,,309.56:160.0;,-93.11999999999898,
302,2023-09-16 02:33:00,328.33,328.269,328.33,328.19,14982.0,1694802780,,,,,,,1.0,,,,2.0998450089333964,1.6195314929214142,12.607340751327088,-69.64196372945915,1,0,50001.574999999975,328.33:151.0;,328.33:151.0;,,0.0,328.33;
322,2023-09-16 02:53:00,327.7,327.5,327.74,327.45,168148.0,1694803980,,,,,,,,,,,16.1591112547636,3.849075310783107,12.607340751327088,-74.43919203079447,0,0,99484.27499999997,,,327.7:151.0;,-95.12999999999931,
326,2023-09-19 02:57:00,324.385,324.375,324.443,324.33,22623.0,1695063420,1.0,,,,,,,,,,-17.290224062809642,15.512186841165608,-20.878864039217035,-76.0964061927872,1,0,49853.369999999966,324.385:153.0;,324.385:153.0;,,0.0,324.385;
328,2023-09-19 02:59:00,324.54,324.47,324.56,324.47,22996.0,1695063540,,,,,1.0,,,,,,-13.686629649428523,15.512186841165608,-20.878864039217035,-73.73102681533892,1,0,198.74999999996362,324.385:153.0;324.54:153.0;,324.54:153.0;,,0.0,324.54;324.54;
386,2023-09-19 03:57:00,326.095,326.22,326.22,326.095,96833.0,1695067020,,,,,,,,,,,115.3913247310308,34.23103940799407,-22.684775213493737,71.3629885080793,0,0,99983.81999999998,,,326.095:153.0;326.095:153.0;,499.5450000000066,326.095;326.095;
109,2023-09-20 23:20:00,324.38,324.27,324.38,324.27,116000.0,1695223200,1.0,,,,,,,,,,0.2908550148125073,-2.684000427738681,19.529977906066076,-75.35151266062432,1,0,50029.29999999998,324.38:154.0;,324.38:154.0;,,0.0,324.38;
132,2023-09-20 23:43:00,323.62,323.77,323.77,323.62,26133.0,1695224580,,,,,,,,,,,5.093791060372524,-14.71010876372631,18.61941416983992,-72.44206681678803,0,0,99866.77999999998,,,323.62:154.0;,-117.0399999999986,
273,2023-09-21 02:04:00,322.17,321.97,322.17,321.94,70323.0,1695233040,,,,,1.0,,,,,,24.125583352498133,-8.339285530416767,15.84749683000294,-2.749359019853711,1,0,49930.42999999998,322.17:155.0;,322.17:155.0;,,0.0,322.17;
300,2023-09-21 02:31:00,322.93,322.66,322.98,322.66,46507.0,1695234660,,,,,,,,,,,80.71276253324116,7.926150242284116,14.80716549069604,77.7980142358589,0,0,99984.57999999999,,,322.93:155.0;,117.79999999999859,
346,2023-09-21 03:17:00,320.97,321.1,321.1,320.92,50185.0,1695237420,,,,,,,1.0,,1.0,,-10.965082677390626,8.296466708631996,12.300940067130185,-76.51313029700701,1,0,50234.22999999998,320.97:155.0;,320.97:155.0;,,0.0,320.97;
361,2023-09-21 03:32:00,320.805,320.9,320.9,320.6,38455.0,1695238320,,,,,,,,,,,13.386463160207548,9.620082636673189,10.70042656620555,-21.94169878901952,0,0,99959.00499999998,,,320.805:155.0;,-25.575000000003172,
22,2023-09-21 21:53:00,315.8,315.5,315.8,315.34,118715.0,1695304380,1.0,,,,,,,,,,11.845333434780606,3.383903228814148,11.798949579965488,-73.5678223564755,1,0,50062.604999999974,315.8:158.0;,315.8:158.0;,,0.0,315.8;
32,2023-09-21 22:03:00,314.92,315.073,315.073,314.849,164607.0,1695304980,,,,,,,,,,,0.1938017872335216,0.3417234946063594,9.48450648886007,-75.94253095406067,0,0,99819.96499999997,,,314.92:158.0;,-139.03999999999928,
250,2023-09-27 01:41:00,308.85,308.72,308.85,308.7,26282.0,1695750060,,,,,1.0,,,,,,-22.89279814662937,17.892771294088362,1.8174247513848665,-78.16248086904955,1,0,50095.11499999996,308.85:161.0;,308.85:161.0;,,0.0,308.85;
300,2023-09-27 02:31:00,308.611,308.58,308.78,308.58,35594.0,1695753060,,,,,,,,,,,62.290569856638,23.79949560444738,0.9791540382538138,-64.58665700997375,0,0,99781.48599999996,,,308.611:161.0;,-38.47900000000527,
276,2023-10-28 02:07:00,327.29,327.07,327.29,327.07,78880.0,1698430020,,,,,,,,,1.0,,7.91753571765252,-10.289662655363102,6.598450468127496,47.80180094708096,1,0,50033.40599999996,327.29:152.0;,327.29:152.0;,,0.0,327.29;
320,2023-10-28 02:51:00,326.908,326.63,326.94,326.63,53000.0,1698432660,,,,,,,,,,,56.7526538236442,-17.374001155827074,4.698399303831906,-42.551452003339314,0,0,99723.42199999996,,,326.908:152.0;,-58.06400000000076,
139,2023-12-01 00:50:00,374.68,374.77,374.77,374.68,44086.0,1701363000,1.0,,,,,,,,,,-0.0061727191649936,-9.876947154010203,1.186113040014078,-75.29663706445616,1,0,49890.98199999996,374.68:133.0;,374.68:133.0;,,0.0,374.68;
229,2023-12-01 02:20:00,374.79,374.795,374.83,374.73,19060.0,1701368400,,,,,,,,,,,-1.8252653596068316,0.4779809516637812,-12.022858432377404,-68.88336213720306,0,0,99738.05199999997,,,374.79:133.0;,14.630000000001814,
231,2023-12-15 02:22:00,363.82,363.95,363.97,363.82,44288.0,1702578120,,,,,,,1.0,,,,-17.40094138113632,0.3227418256637762,11.965923975095308,-77.27913998882684,1,0,49894.71199999997,363.82:137.0;,363.82:137.0;,,0.0,363.82;
262,2023-12-15 02:53:00,363.08,362.95,363.08,362.87,147640.0,1702579980,,,,,,,,,,,-3.5090027637546264,-2.409279019873509,5.559120305914689,-76.73040828828611,0,0,99636.67199999996,,,363.08:137.0;,-101.38000000000125,
266,2023-12-15 02:57:00,363.11,363.01,363.11,363.01,90074.0,1702580220,,,,,,,,,1.0,,-1.6133672692492418,-3.1249440325035565,5.559120305914689,-73.68136374052682,1,0,49890.60199999996,363.11:137.0;,363.11:137.0;,,0.0,363.11;
335,2023-12-15 04:06:00,363.742,363.72,363.835,363.72,77018.0,1702584360,,,,,,,,,,,32.35417227999315,30.497339332148645,-6.482061592462131,-19.915906979353075,0,0,99723.25599999996,,,363.742:137.0;,86.58400000000069,
282,2024-02-14 03:13:00,403.7,403.691,403.7,403.64,25527.0,1707851580,1.0,,,,,,,,,,-11.082469283115827,13.266412977957714,2.2995861484242823,-75.5176721063404,1,0,50068.155999999966,403.7:123.0;,403.7:123.0;,,0.0,403.7;
321,2024-02-14 03:52:00,403.25,403.296,403.304,403.2,31096.0,1707853920,,,,,,,,,,,35.78103687084877,2.543600433256735,-2.363595234521,-70.3308575231235,0,0,99667.90599999996,,,403.25:123.0;,-55.3499999999986,
184,2024-04-16 00:35:00,419.29,419.23,419.37,419.2,23721.0,1713198900,,,,,1.0,,,,,,-6.842218570313683,2.369191616932696,5.124803223756345,-76.8620810917978,1,0,50191.68599999996,419.29:118.0;,419.29:118.0;,,0.0,419.29;
225,2024-04-16 01:16:00,418.815,418.85,418.86,418.785,15924.0,1713201360,,,,,,,,,,,43.24606944517744,-5.859521124816837,1.12365106278979,-49.29779364013838,0,0,99611.85599999996,,,418.815:118.0;,-56.05000000000268,
