,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
266,2024-02-14 02:57:00,144.685,144.72,144.72,144.645,31795.0,1707850620,1.0,,,,,,,,,,12.592442917944226,4.240860285533131,16.70179208739279,-71.799056443499,1,0,49910.35499999997,144.685:344.0;,144.685:344.0;,,0.0,144.685;
283,2024-02-14 03:14:00,144.235,144.21,144.235,144.205,60970.0,1707851640,,,,,,,,,,,-2.254990194378557,-3.214348217345254,11.084854760311742,-74.25280102614607,0,0,99527.19499999998,,,144.235:344.0;,-154.7999999999961,
288,2024-02-14 03:19:00,144.22,144.3,144.3,144.22,25172.0,1707851940,,,,,1.0,,,,,,0.9661733699451922,-5.369483532114529,11.084854760311742,-60.43092367882239,1,0,49771.29499999998,144.22:345.0;,144.22:345.0;,,0.0,144.22;
319,2024-02-14 03:50:00,144.34,144.275,144.34,144.275,39706.0,1707853800,,,,,,,,,,,88.37679875837195,2.0784721245549638,5.747376917515311,26.78171903765833,0,0,99568.59499999997,,,144.34:345.0;,41.40000000000157,
350,2024-02-14 04:21:00,143.8,143.775,143.81,143.775,54880.0,1707855660,,,,,,,,,1.0,,-8.426557370630427,-5.944395380345711,-1.0468205939558572,-76.42842599832633,1,0,49813.79499999997,143.8:346.0;,143.8:346.0;,,0.0,143.8;
386,2024-02-14 04:57:00,144.945,145.015,145.07,144.945,166388.0,1707857820,,,,,,,,,,,125.13314196400744,22.231768582161,-6.234292683419795,75.80092284930139,0,0,99964.76499999997,,,144.945:346.0;,396.1699999999937,144.945;
199,2024-02-17 01:50:00,140.495,140.535,140.542,140.491,81001.0,1708105800,,,,,1.0,,,,,,-8.927973038926332,0.8751372147446261,11.277941302728491,-74.9308758350956,1,0,50089.03999999997,140.495:355.0;,140.495:355.0;,,0.0,140.495;
315,2024-02-17 03:46:00,140.815,140.585,140.815,140.585,69562.0,1708112760,,,,,,,,,,,-1.916652568708372,61.12733773808044,8.11248874541829,-51.60958521630377,0,0,100078.36499999996,,,140.815:355.0;,113.59999999999758,
193,2024-02-27 01:44:00,138.07,138.155,138.155,138.055,122560.0,1708969440,,,,,1.0,,,,,,-4.466460061343945,-12.02665591005644,9.805660200281151,-75.51601453809793,1,0,50097.024999999965,138.07:362.0;,138.07:362.0;,,0.0,138.07;
210,2024-02-27 02:01:00,137.79,137.8,137.85,137.79,263554.0,1708970460,,,,,,,,,,,2.9026599530526163,-11.339292049694675,3.3490435012420363,-71.8458318510561,0,0,99977.00499999996,,,137.79:362.0;,-101.36000000000041,
190,2024-02-28 01:41:00,137.28,137.245,137.3,137.245,80292.0,1709055660,1.0,,,,,,,,,,5.828313098232712,15.167015910677648,-22.364765980046712,-73.5537306889667,1,0,50007.08499999996,137.28:364.0;,137.28:364.0;,,0.0,137.28;
288,2024-02-28 03:19:00,138.625,138.6,138.625,138.59,27060.0,1709061540,,1.0,,,,,,,,,100.77142436332136,89.01711816154167,-20.649307951121827,15.91127348433709,0,1,75236.83499999996,137.28:182.0;,,138.625:182;,244.7899999999998,138.65;
338,2024-02-28 04:09:00,138.675,138.691,138.74,138.675,45054.0,1709064540,,,,,,,,,,,40.19109764368196,119.89757955744814,-14.403315748136194,-48.24051615548612,0,0,100475.68499999997,,,138.675:182.0;,253.89000000000186,
349,2024-04-05 03:20:00,151.604,151.53,151.61,151.53,65078.0,1712258400,,,,,,,,,1.0,,2.249028216378722,-2.563093171054348,19.3793474113524,-76.47888370161087,1,0,50294.76099999996,151.604:331.0;,151.604:331.0;,,0.0,151.604;
361,2024-04-05 03:32:00,151.049,151.03,151.1,151.03,83384.0,1712259120,,,,,,,,,,,-1.4591585419746167,-7.474904558208152,11.762091318393004,-76.19332619528868,0,0,100291.97999999997,,,151.049:331.0;,-183.70500000000226,
373,2024-04-05 03:44:00,150.95,150.885,150.95,150.885,50684.0,1712259840,,,,,,,1.0,,,,5.385520827175663,-10.129256832468002,11.762091318393004,-24.283864750189583,1,0,50176.57999999997,150.95:332.0;,150.95:332.0;,,0.0,150.95;
386,2024-04-05 03:57:00,150.695,150.54,150.695,150.54,202004.0,1712260620,,,,,,,,,,,5.735221586167354,-12.51615583140162,11.762091318393004,41.16424283368583,0,0,100207.31999999998,,,150.695:332.0;,-84.65999999999849,151.06;
69,2024-04-16 22:40:00,153.655,153.56,153.655,153.54,56050.0,1713278400,1.0,,,,,,,,,,-14.980429490021647,9.934505942590532,6.796343885996748,-77.90315910065654,1,0,50115.78999999998,153.655:326.0;,153.655:326.0;,,0.0,153.655;
152,2024-04-17 00:03:00,154.679,154.83,154.83,154.679,24823.0,1713283380,,,,,,,,,,,84.33360266273877,63.79587934340665,0.1390021243923342,-2.089849119247233,0,0,100541.14399999997,,,154.679:326.0;,333.8240000000003,
256,2024-05-11 01:47:00,166.47,166.345,166.47,166.345,49796.0,1715363220,,,,,1.0,,,,,,-7.767574004961229,-10.95667488319318,4.715063176366598,-75.26685307524228,1,0,50433.67399999997,166.47:301.0;,166.47:301.0;,,0.0,166.47;
