,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
126,2023-08-11 23:37:00,38.123,38.193,38.193,38.123,367144,1691768220,,,,,,,,,1.0,,-3.995053312092331,11.386067723009807,18.489338717905483,-75.66635510212056,1,0,50113.57799999999,38.123:1314.0;,38.123:1314.0;,,0.0,38.123;
176,2023-08-12 00:27:00,38.343,38.288,38.343,38.264,381928,1691771220,,,,,,,,,,,86.4175269238015,15.427318569122557,17.009841125358363,48.70454188425353,0,0,100496.28,,,38.343:1314.0;,289.08000000000783,
219,2023-08-17 01:10:00,37.743,37.697,37.743,37.693,552256,1692205800,,,,,,,1.0,,,,26.9297262387738,-3.0982186814343398,10.859193071767038,-70.11957017535013,1,0,50260.346999999994,37.743:1331.0;,37.743:1331.0;,,0.0,37.743;
273,2023-08-17 02:04:00,37.763,37.903,37.928,37.763,348908,1692209040,,,,,,,,,,,73.04731678358871,20.947251335920868,7.823582370325013,-37.84915832425457,0,0,100522.9,,,37.763:1331.0;,26.619999999994704,
8,2023-08-17 21:39:00,37.478,37.428,37.488,37.423,241071,1692279540,1.0,,,,,,,,,,53.5122884777189,14.377712528958329,3.7914440096999584,75.2695825109665,1,0,50264.901999999995,37.478:1341.0;,37.478:1341.0;,,0.0,37.478;
15,2023-08-17 21:46:00,37.268,37.278,37.303,37.253,256036,1692279960,,,,,,,,,,,46.73904969387544,14.015120707512333,3.7914440096999584,55.1160798721625,0,0,100241.29,,,37.268:1341.0;,-281.61000000000115,
27,2023-08-17 21:58:00,37.243,37.203,37.243,37.173,579678,1692280680,,,,,1.0,,1.0,,1.0,,14.567502700062173,10.13602355390008,3.7914440096999584,-66.15619828917808,1,0,50000.48299999999,37.243:1349.0;,37.243:1349.0;,,0.0,37.243;
43,2023-08-17 22:14:00,36.946,36.903,36.946,36.883,384114,1692281640,,,,,,,,,,,0.9672016989249954,6.800852160856231,1.7446176222453147,-70.79635805809383,0,0,99840.63699999999,,,36.946:1349.0;,-400.6530000000056,
347,2023-08-18 03:18:00,35.952,35.998,35.998,35.932,311320,1692299880,,,1.0,,,,,,,,3.905573452351522,-1.5593462239735558,-3.697049443777068,-59.615903412061456,1,0,49579.74099999999,35.952:1398.0;,35.952:1398.0;,,0.0,35.952;
376,2023-08-18 03:47:00,35.925,36.013,36.013,35.925,315032,1692301620,,,,,,,,,,,40.69996169518905,1.461069401548741,-3.831256251915484,-56.30275665570424,0,0,99802.89099999997,,,35.925:1398.0;,-37.74600000000143,
