,dt,open,close,high,low,vol,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
62,2023-09-11 22:33:00,103.149,103.134,103.16,103.085,154437,1694442780,,,,,,,,,,,9.645139148836346,2.591064415367267,12.670905126983811,-68.01478917781075,0,0,99683.943,,,103.149:484.0;,-105.99599999999714,
234,2023-09-16 01:25:00,101.97,102.02,102.02,101.97,113536,1694798700,,,,,1.0,,,,,,-25.074968959914383,6.342874288382404,5.07324833477665,-77.93799459365249,1,0,49922.583,101.97:488.0;,101.97:488.0;,,0.0,101.97;
290,2023-09-16 02:21:00,101.91,101.9,101.97,101.9,132236,1694802060,,,,,,,,,,,16.480535028082073,9.452824680310773,-5.551442775108114,-66.67234206688549,0,0,99654.663,,,101.91:488.0;,-29.28000000000111,
9,2023-09-22 21:40:00,96.2,96.17,96.28,96.131,165297,1695390000,1.0,,,,,,,,,,50.5327420246999,19.81930675000996,-6.673799848385357,41.56725096955433,1,0,49919.263,96.2:517.0;,96.2:517.0;,,0.0,96.2;
33,2023-09-22 22:04:00,96.35,96.62,96.67,96.35,221444,1695391440,,,,,,,,,,,48.84787579842352,35.27347103769259,-6.496271905355705,33.65207764988666,0,0,99732.21299999999,,,96.35:517.0;,77.54999999999559,
4,2023-09-25 21:35:00,94.73,94.875,95.045,94.73,163547,1695648900,1.0,,,,,,,,,,-14.49803284483484,13.008592938625938,15.83101445436964,-74.57727066929519,1,0,49904.232999999986,94.73:526.0;,94.73:526.0;,,0.0,94.73;
12,2023-09-25 21:43:00,95.966,96.46,96.46,95.966,361255,1695649380,,1.0,,,,,,,,,30.293894558001654,15.464644713120832,15.83101445436964,64.0257749981292,0,1,75143.29099999998,94.73:263.0;,,95.966:263;,325.06799999999737,95.97;
30,2023-09-25 22:01:00,96.162,96.22,96.22,96.088,166025,1695650460,,,,,,,,,,,100.4267321276071,34.86660550845912,16.60607072468464,52.11845606595503,0,0,100433.89699999998,,,96.162:263.0;,376.61600000000055,
318,2023-10-19 02:49:00,102.25,102.215,102.275,102.21,54328,1697654940,,,,,,,,,1.0,,6.208625654520269,5.476569326302148,19.873332400876947,-72.72983176767626,1,0,50229.14699999998,102.25:491.0;,102.25:491.0;,,0.0,102.25;
386,2023-10-19 03:57:00,102.24,102.2,102.32,102.2,195560,1697659020,,,,,,,,,,,76.29099761139362,8.436025115370171,13.343782324008266,67.91036564948905,0,0,100428.98699999998,,,102.24:491.0;,-4.910000000002512,102.28;
6,2023-10-19 21:37:00,103.441,103.41,103.579,103.41,220636,1697722620,1.0,,,,,,,,,,80.59335411246602,18.289566374899174,5.525887563368727,70.55907222222656,1,0,50260.10199999998,103.441:485.0;,103.441:485.0;,,0.0,103.441;
9,2023-10-19 21:40:00,102.987,103.1,103.2,102.987,217464,1697722800,,,,,,,,,,,69.0548106621993,23.812630868984584,5.525887563368727,43.6432717039077,0,0,100208.79699999998,,,102.987:485.0;,-220.19000000000375,
