,dt,open,close,high,low,vol,turnover,ts,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw1,jw5,atr5,jw30,baijiao,buy_signal,sell_signal,cash,chicang,buy_detail,sell_detail,profit,max_zhiying_prices
245,2024-03-22 01:36:00,123.68,123.69,123.72,123.68,33090.0,4095232.0,1711042560,,,,,,,1.0,,,,-19.79777068027726,-1.971435652181043,0.3204999999999996,-7.048495879329067,-77.60204508416766,1,0,50418.89600000003,123.68:407.0;,123.68:407.0;,,0.0,123.68;
249,2024-03-22 01:40:00,123.55,123.46,123.55,123.44,34215.0,4224768.0,1711042800,,,,,,,,,,,-20.95688762494369,-3.318105826235545,0.3097857142857145,-7.048495879329067,-78.18060495646723,0,0,100703.74600000003,,,123.55:407.0;,-52.91000000000393,
255,2024-03-22 01:46:00,123.3,123.08,123.32,123.08,38305.0,4719232.0,1711043160,,,,,1.0,,,,,,-18.999341445030048,-3.898819991742848,0.328714285714286,-7.048495879329067,-77.4890273046395,1,0,50397.34600000003,123.3:408.0;,123.3:408.0;,,0.0,123.3;
256,2024-03-22 01:47:00,123.0,122.94,123.09,122.94,58218.0,7162240.0,1711043220,,,,,,,,,,,-19.141172248501704,-3.898819991742848,0.328714285714286,-7.048495879329067,-77.80412941583282,0,0,100581.34600000002,,,123.0:408.0;,-122.39999999999884,
269,2024-03-22 02:00:00,122.565,122.61,122.67,122.565,25055.0,3074304.0,1711044000,,,1.0,,,,,,,,-10.446326489191756,-5.585406619872245,0.3633571428571441,-9.672875378827245,-75.01861670996578,1,0,50207.13100000002,122.565:411.0;,122.565:411.0;,,0.0,122.565;
271,2024-03-22 02:02:00,122.39,122.14,122.431,122.14,44909.0,5493248.0,1711044120,,,,,,,,,,,-10.474803288099023,-5.585406619872245,0.3633571428571441,-9.672875378827245,-75.04844043394004,0,0,100509.42100000003,,,122.39:411.0;,-71.92499999999883,
13,2024-03-25 21:44:00,120.47,121.155,121.155,120.47,68918.0,8323008.0,1711374240,1.0,,,,,,,,1.0,,78.64468047135261,7.332224626122624,1.153499999999999,19.86932838012938,66.83040794909033,1,0,50273.43100000003,120.47:417.0;,120.47:417.0;,,0.0,120.47;
20,2024-03-25 21:51:00,120.2,120.375,120.375,120.2,66990.0,8058944.0,1711374660,,,,,,,,,,,74.69825627843053,20.42206720996944,1.2139999999999995,19.86932838012938,51.37878076514802,0,0,100396.83100000003,,,120.2:417.0;,-112.58999999999834,
369,2024-04-02 03:40:00,118.82,118.74,118.83,118.74,7673.0,911936.0,1712000400,,,,,1.0,,,,,,-12.070777180429673,8.98783057865937,0.1513571428571408,88.19190820989675,-76.67378146586618,1,0,100396.83100000003,,,,0.0,
14,2024-04-02 21:45:00,117.206,117.47,117.5,117.206,17901.0,2099752.0,1712065500,1.0,,,,,,,,,,21.729756906590417,6.474858977268653,0.5001428571428568,87.0548094304881,-71.66386230643006,1,0,50232.66300000004,117.206:428.0;,117.206:428.0;,,0.0,117.206;
