,dt_1D,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
16,20210803,143.02,144.57,145.23,142.42,64786616,9509693440.0,0.273,0.231,,,,0,0,1,1,0,0,0,0,
17,20210804,144.48,144.16,144.97,143.5,56368272,8286479872.0,0.288,0.246,,,,0,0,0,0,0,0,0,0,
18,20210805,144.19,144.27,145.032,143.455,46397672,6825650176.0,0.304,0.261,,,,0,0,0,1,0,0,0,0,
19,20210806,143.78,143.57,144.525,143.075,54126812,7913909760.0,0.309,0.232,,,,0,0,1,1,0,0,0,0,
20,20210809,143.63,143.52,144.074,143.01,48908688,7148571648.0,0.313,0.204,,,,0,0,0,0,0,0,0,0,
21,20210810,143.87,143.03,145.14,142.73,69023080,10085999616.0,0.309,0.154,,,,0,0,1,0,0,0,0,0,
22,20210811,143.48,143.29,144.1,142.37,48493464,7081059840.0,0.309,0.127,,,,0,0,0,0,0,0,0,0,
23,20210812,143.62,146.32,146.475,142.926,73779112,10703500288.0,0.35,0.262,,,,0,0,0,0,0,0,0,0,
24,20210813,146.4,146.53,146.85,145.725,59375008,8823870464.0,0.391,0.374,,,,0,0,0,0,0,0,0,0,
25,20210816,145.965,148.55,149.12,143.985,103558784,15111199744.0,0.457,0.561,,,,0,0,0,1,0,0,0,0,
26,20210817,147.66,147.62,149.09,146.53,92229736,13859028992.0,0.506,0.652,,,,0,0,0,0,0,0,0,0,
27,20210818,147.23,143.79,148.12,143.43,86325992,12559399936.0,0.5,0.515,,,,0,0,0,0,0,0,0,0,
28,20210819,142.46,144.13,145.42,141.73,86960312,12731180032.0,0.499,0.419,,,,0,0,0,0,0,0,0,0,
29,20210820,144.87,145.62,145.91,143.33,60549632,8819009536.0,0.517,0.417,,,,0,0,1,0,0,0,0,0,
30,20210823,145.74,147.14,147.605,145.25,60131808,8962209792.0,0.554,0.488,,,,0,0,0,0,0,0,0,0,
31,20210824,146.88,147.05,148.28,146.63,48606428,7273440256.0,0.588,0.533,,,,0,0,0,0,0,0,0,0,
32,20210825,147.24,145.79,147.695,145.235,58991296,8765539328.0,0.602,0.496,,,,0,0,1,1,0,0,0,0,
33,20210826,145.78,144.97,146.502,144.94,48597196,7150029824.0,0.604,0.417,,,,0,0,0,0,0,0,0,0,
34,20210827,144.91,146.03,146.17,144.282,55802388,8265179648.0,0.62,0.406,,74.57763003519747,,0,0,0,0,0,0,0,0,
35,20210830,146.43,150.55,150.92,146.01,90956720,13774699520.0,0.695,0.627,,78.36791984854472,3.7902898133472434,0,0,0,0,0,0,0,0,
36,20210831,150.09,149.26,151.11,148.745,86453120,13122499584.0,0.748,0.723,,81.45572857991446,3.0878087313697478,0,0,0,0,0,0,0,0,
37,20210901,150.26,149.94,152.385,148.881,80438488,12293300224.0,0.806,0.825,,83.66889831850276,2.2131697385882916,0,0,0,1,0,0,0,0,
38,20210902,151.3,151.08,152.11,149.559,71171320,10915099648.0,0.876,0.952,,86.49632053068476,2.8274222121820003,0,0,0,0,0,0,0,0,
39,20210903,151.19,151.73,151.97,150.62,57866064,8895970304.0,0.95,1.073,,89.89706224464085,3.4007417139560943,0,0,0,0,0,0,0,0,
40,20210907,152.4,154.12,154.675,151.345,82278264,12844325888.0,1.052,1.277,,93.33377829751997,3.4367160528791203,0,0,0,0,0,0,0,0,
41,20210908,154.41,152.54,154.62,151.46,74420208,11503099904.0,1.125,1.338,,94.97507707196587,1.6412987744459002,0,0,0,0,0,0,0,0,
42,20210909,152.92,151.5,153.528,151.39,57305728,8713100288.0,1.179,1.314,,94.83471503272,-0.14036203924587198,0,0,0,0,0,0,0,0,
43,20210910,152.43,146.4,152.895,146.1,140893232,21192400896.0,1.161,1.013,,89.24712976707713,-5.587585265642872,0,0,0,0,0,0,0,0,
44,20210913,148.06,146.98,148.83,146.195,102404328,15296000000.0,1.15,0.795,51.245010454286174,82.76990067071446,-6.477229096362663,0,0,1,0,0,0,0,0,
45,20210914,147.78,145.55,148.42,144.455,109711104,16320199680.0,1.12,0.541,49.513470893436605,75.16014382321794,-7.609756847496527,0,0,0,0,0,0,0,0,
46,20210915,145.99,146.46,146.85,143.815,83281312,12206000128.0,1.102,0.383,49.074423723603175,68.76358509938386,-6.396558723834076,0,0,0,0,0,0,0,0,
47,20210916,145.87,146.22,146.4,144.675,68034152,10080748544.0,1.082,0.243,48.39636082892744,62.40461571979725,-6.358969379586611,0,0,0,0,0,0,0,0,
48,20210917,146.25,143.49,146.65,143.18,129868824,19008299008.0,1.025,-0.011,44.49128557084258,53.94546358379367,-8.459152136003581,0,0,0,0,0,0,0,0,
49,20210920,141.23,140.37,142.39,138.73,123478864,17584300032.0,0.929,-0.371,37.41935047952279,44.68572190804774,-9.259741675745929,0,0,1,0,0,0,0,0,
50,20210921,141.36,140.86,142.23,140.24,75833960,10812000256.0,0.844,-0.622,31.72561032287588,36.45753347021646,-8.228188437831278,0,0,0,0,0,0,0,0,
51,20210922,141.88,143.28,143.85,141.17,76404344,10973899776.0,0.796,-0.683,29.584624163800086,31.53713292973221,-4.920400540484252,0,0,0,0,0,0,0,0,
52,20210923,144.08,144.26,146.06,143.15,64838168,9484980224.0,0.763,-0.671,28.889518182445087,29.19454108773897,-2.34259184199324,0,0,0,0,0,0,0,0,
53,20210924,143.09,144.35,144.9,142.96,53477868,7803599872.0,0.732,-0.648,28.41761755669144,28.176910588279398,-1.017630499459571,0,0,0,0,0,0,0,0,
54,20210927,142.9,142.8,144.71,141.29,74150728,10754934784.0,0.682,-0.703,26.179113759455348,26.42029497539373,-1.7566156128856676,0,0,0,0,0,0,0,0,
55,20210928,140.68,139.34,143.163,139.145,108972336,15508400128.0,0.588,-0.916,20.079188932838107,21.526339120585504,-4.893955854808226,0,0,0,0,0,0,0,0,
56,20210929,139.9,140.26,141.875,139.57,74602048,10658700288.0,0.51,-1.022,15.79591804076469,16.714865882988235,-4.811473237597269,0,0,0,0,0,0,0,0,
57,20210930,141.09,138.93,141.79,138.77,89057152,12648399872.0,0.419,-1.16,10.443064894049073,11.097837907872858,-5.617027975115377,0,0,0,0,0,0,0,0,
58,20211001,139.33,140.08,140.34,136.57,94639584,13340300288.0,0.349,-1.194,9.204637089236059,8.233566869918548,-2.8642710379543104,0,0,0,0,0,0,0,0,
59,20211004,139.19,136.57,139.63,135.702,98322008,13698187264.0,0.234,-1.386,5.340348036498128,4.503784490061747,-3.7297823798568004,0,0,0,0,0,0,0,0,
60,20211005,136.92,138.54,139.645,136.65,80861064,11382299648.0,0.153,-1.416,3.9550613336336937,2.3089409297178776,-2.1948435603438696,0,0,0,0,0,0,0,0,
61,20211006,136.9,139.43,140.18,135.82,83221120,11682441216.0,0.088,-1.375,3.693703703101775,1.4532202141120223,-0.8557207156058553,0,0,1,1,0,0,0,0,
62,20211007,140.49,140.72,141.635,140.352,61732656,8848079872.0,0.044,-1.258,4.836334845162327,2.0855534834831815,0.6323332693711592,0,0,0,0,0,0,0,0,
63,20211008,141.46,140.33,141.72,139.995,58773156,8402849792.0,-0.002,-1.17,5.534906918462411,2.863550733336922,0.7779972498537404,0,0,0,1,0,0,0,0,
64,20211011,139.7,140.24,142.23,139.09,64452220,9258227712.0,-0.048,-1.092,6.136597453806459,3.5073905829635237,0.6438398496266018,0,0,0,0,0,0,0,0,
65,20211012,140.66,138.94,140.86,136.74,73035864,10260899840.0,-0.108,-1.084,5.430302951986235,2.996913699629488,-0.5104768833340358,0,0,0,0,0,0,0,0,
66,20211013,138.665,138.34,138.981,136.65,79526340,11052621824.0,-0.172,-1.095,4.2623901514139675,1.5890386937909824,-1.4078750058385054,0,0,1,1,0,0,0,0,
67,20211014,139.54,141.19,141.43,139.016,69907104,9994819584.0,-0.195,-0.941,6.158605942711944,1.983286429318781,0.3942477355277987,0,0,0,0,0,0,0,0,
68,20211015,141.2,142.27,142.4,140.831,67940392,9790400512.0,-0.201,-0.753,8.999467659016418,3.682156932271326,1.6988705029525448,0,0,0,0,0,0,0,0,
69,20211018,140.875,143.98,144.28,140.625,85590032,12372299776.0,-0.184,-0.508,13.310479984466184,6.922361270640678,3.2402043383693524,0,0,0,0,0,0,0,0,
70,20211019,144.44,146.19,146.582,144.0,76378896,11296300032.0,-0.138,-0.195,19.42669338385909,11.988148063763546,5.065786793122868,0,0,0,0,0,0,0,0,
71,20211020,146.13,146.69,147.165,145.585,58418788,8694779904.0,-0.087,0.077,25.417576110648056,17.54169426284001,5.5535461990764645,0,0,0,0,0,0,0,0,
72,20211021,146.24,146.91,147.42,145.345,61420992,9124490240.0,-0.037,0.299,31.00233008304734,22.852420186458772,5.310725923618762,0,0,0,1,0,0,0,0,
73,20211022,147.12,146.12,147.59,145.84,58883444,8770289664.0,0.0,0.427,35.19628103475705,26.90062758727568,4.048207400816906,0,0,0,0,0,0,0,0,
74,20211025,146.11,146.07,146.76,145.115,50720560,7513160192.0,0.035,0.519,38.886929128986395,29.975488331945428,3.074860744669749,0,0,0,0,0,0,0,0,
75,20211026,146.76,146.75,148.23,145.699,60893396,9086459904.0,0.076,0.619,42.856884301970524,32.822484586336145,2.8469962543907172,0,0,0,0,0,0,0,0,
76,20211027,146.79,146.28,147.15,145.96,56094928,8362881536.0,0.109,0.665,45.910060545534435,35.36262168072861,2.5401370943924633,0,0,0,0,0,0,0,0,
77,20211028,147.25,150.0,150.57,141.88,100077888,15168429056.0,0.19,0.885,52.36054148479214,40.82942729865998,5.466805617931371,0,0,0,0,0,0,0,0,
78,20211029,144.645,147.23,147.39,143.87,124953168,18499600384.0,0.229,0.901,55.29168188174785,45.98664915015674,5.157221851496757,0,0,0,0,0,0,0,0,
79,20211101,146.415,146.39,147.45,145.25,74588256,11099233280.0,0.254,0.859,57.023219953496564,49.79392322144264,3.807274071285903,0,0,0,0,0,0,0,0,
80,20211102,146.09,147.45,149.0,145.93,69121984,10391814144.0,0.291,0.869,59.59622906645568,53.706575254918704,3.912652033476064,0,0,0,0,0,0,0,0,
81,20211103,147.82,148.92,149.4,147.34,54511720,8228345856.0,0.346,0.942,63.32863249784786,58.59564854249656,4.889073287577858,0,0,0,0,0,0,0,0,
82,20211104,149.01,148.39,149.847,148.075,60394616,9145117696.0,0.391,0.96,66.07428494083153,62.84959015654,4.253941614043441,0,0,0,0,0,0,0,0,
83,20211105,149.54,148.93,149.79,147.74,65812655,9888388096.0,0.44,0.989,69.0135383352483,66.99117990176957,4.141589745229567,0,0,0,0,0,0,0,0,
84,20211108,149.06,148.09,149.3,147.4,55020868,8293999616.0,0.475,0.955,70.73098037253168,69.88207361047837,2.890893708708802,0,0,1,1,0,0,0,0,
85,20211109,147.85,148.46,149.011,147.5,56787928,8560535040.0,0.512,0.936,72.61294794342571,72.39523382774773,2.513160217269359,0,0,0,0,0,0,0,0,
86,20211110,147.67,145.57,148.46,145.515,65187092,9662260224.0,0.507,0.758,71.92052518546986,71.79608539754295,-0.599148430204778,0,0,1,0,0,0,0,0,
87,20211111,146.61,145.52,146.73,145.201,40999952,6076167168.0,0.502,0.607,71.57766087748372,70.11437246145417,-1.6817129360887861,0,0,0,0,0,0,0,0,
88,20211112,146.08,147.64,148.04,145.16,63804008,9527524352.0,0.526,0.592,75.64626474710508,70.15978771922079,0.0454152577666207,0,0,0,0,0,0,0,0,
89,20211115,148.02,147.65,149.49,147.115,59224108,8899069952.0,0.547,0.573,79.22397789483836,70.85431116251699,0.6945234432962053,0,0,0,0,0,0,0,0,
90,20211116,147.59,148.65,149.133,147.0,59256208,8898889728.0,0.581,0.603,83.63100027143749,72.7606680955125,1.9063569329955072,0,0,1,1,0,0,0,0,
91,20211117,148.645,151.14,152.65,148.273,88807000,13582199808.0,0.646,0.747,88.25057900570599,75.54368399104146,2.783015895528962,0,0,0,0,0,0,0,0,
92,20211118,151.36,155.52,156.32,150.824,137827680,21468999680.0,0.765,1.078,93.24856031212201,79.14449993273365,3.60081594169219,0,0,0,1,0,0,0,0,
93,20211119,155.3,158.2,158.67,154.28,117305600,18652200960.0,0.913,1.461,97.96557447625607,82.99754624306243,3.8530463103287786,0,0,0,0,0,0,0,0,
94,20211122,159.33,158.67,163.325,158.2,117467888,19173099520.0,1.059,1.765,99.2450554437485,84.53307800457476,1.5355317615123312,0,0,0,0,0,0,0,0,
95,20211123,158.77,159.06,159.41,156.74,96041896,15367999488.0,1.201,1.999,100.55790696851263,85.31766040474787,0.7845824001731074,0,0,0,0,0,0,0,0,
96,20211124,158.4,159.59,159.81,157.404,69464304,11192629248.0,1.34,2.182,101.99712772719548,85.93228645323092,0.6146260484830464,0,0,0,0,0,0,0,0,
97,20211126,157.215,154.46,159.186,154.206,76959752,12146194432.0,1.402,2.031,99.63266171684856,83.75890084868647,-2.1733856045444497,0,0,0,0,0,0,0,0,
98,20211129,157.02,157.89,158.82,155.4,88748216,14188699648.0,1.505,2.065,99.80500966248943,82.64286756250152,-1.116033286184944,0,0,0,0,0,0,0,0,
99,20211130,157.635,162.95,164.29,156.25,174048192,28377700352.0,1.669,2.327,102.73300370128982,84.16391193039192,1.521044367890397,0,0,0,0,0,0,0,0,
100,20211201,165.13,162.42,167.92,161.85,152423008,25541986304.0,1.815,2.474,102.88392788392127,84.7889684142644,0.6250564838724841,0,0,0,0,0,0,0,0,
101,20211202,156.385,161.41,161.83,155.8,136739168,22074099712.0,1.938,2.503,102.32759716105086,84.47010354390969,-0.3188648703547159,0,0,0,0,0,0,0,0,
102,20211203,161.67,159.49,163.0,157.4,118023120,19060600832.0,2.027,2.394,100.6039136827599,82.69523078803346,-1.7748727558762312,0,0,0,0,0,0,0,0,
103,20211206,161.94,162.97,165.44,159.65,107496984,17689899008.0,2.156,2.459,101.04768918237261,82.36850983245867,-0.3267209555747854,0,0,0,0,0,0,0,0,
104,20211207,166.73,168.83,171.5,165.4,120877488,20538304512.0,2.355,2.782,102.86745298190809,83.87156018214752,1.5030503496888485,0,0,0,0,0,0,0,0,
105,20211208,169.775,172.73,173.52,168.43,116998848,20295700480.0,2.593,3.2,105.43631463926093,86.87813098191782,3.0065707997703015,0,0,0,0,0,0,0,0,
106,20211209,172.56,172.21,174.333,171.29,108923640,19081521152.0,2.808,3.457,106.96438598136884,89.65074777793956,2.7726167960217367,0,0,0,0,0,0,0,0,
107,20211210,172.855,177.1,177.58,171.774,115402752,20170100736.0,3.075,3.867,109.09208076331676,92.85883683877165,3.208089060832094,0,0,0,0,0,0,0,0,
108,20211213,178.765,173.39,179.84,172.72,153237024,27164499968.0,3.274,3.943,108.26998469303027,93.731378285863,0.8725414470913506,0,0,0,0,0,0,0,0,
109,20211214,172.9,171.98,175.45,169.88,139380208,23901499392.0,3.44,3.878,106.82680893970013,93.19050647502996,-0.540871810833039,0,0,1,1,0,0,0,0,
110,20211215,172.76,176.95,177.93,169.99,131063496,22352300032.0,3.661,4.035,107.65758983113835,93.98361913314561,0.7931126581156462,0,0,0,0,0,0,0,0,
111,20211216,176.93,169.91,178.85,168.425,150185536,26067699712.0,3.772,3.739,104.94774039409359,92.57956526460336,-1.404053868542249,0,0,0,0,0,0,0,0,
112,20211217,167.58,168.79,171.07,166.81,195923248,33300099072.0,3.858,3.402,101.72050930199106,89.96772760468808,-2.611837659915281,0,0,0,0,0,0,0,0,
113,20211220,165.93,167.4,169.03,164.7,107499064,18000099328.0,3.917,3.023,98.09894501864926,86.44415946835562,-3.5235681363324574,0,0,0,0,0,0,0,0,
114,20211221,169.205,170.64,170.82,166.8,91185960,14716699648.0,4.014,2.856,96.24237675346558,84.26000014891619,-2.1841593194394306,0,0,0,0,0,0,0,0,
115,20211222,170.69,173.29,173.65,169.56,92559368,16057742336.0,4.137,2.827,95.86823724223146,83.86591033152386,-0.3940898173923273,0,0,0,0,0,0,0,0,
116,20211223,173.5,173.93,174.47,173.0,68356864,11803599872.0,4.259,2.801,95.80620514861025,84.4966252224431,0.6307148909192364,0,0,0,0,0,0,0,0,
117,20211227,174.735,177.98,178.15,173.55,74919584,13418370048.0,4.426,2.955,97.740600155153,87.1516415215824,2.655016299139305,0,0,0,0,0,0,0,0,
118,20211228,177.81,176.94,178.965,176.23,79144272,14190000128.0,4.565,2.982,98.89034552103396,89.9025912101654,2.750949688582992,0,0,0,0,0,0,0,0,
119,20211229,176.98,177.03,178.26,175.85,62348932,11190251520.0,4.693,2.969,99.90819026584543,92.51876961816703,2.6161784080016304,0,0,1,1,0,0,0,0,
120,20211230,177.12,175.85,178.208,174.77,59772708,10672300032.0,4.795,2.86,100.16827841173759,94.35769837858025,1.838928760413225,0,0,0,0,0,0,0,0,
121,20211231,175.735,175.22,176.76,174.95,64062280,11076200448.0,4.879,2.704,100.03020436549374,95.47880841316815,1.1211100345879004,0,0,0,0,0,0,0,0,
122,20220103,175.48,179.66,180.515,175.16,104701120,18995468288.0,5.014,2.779,101.73575755929912,97.73817277020176,2.259364357033604,0,0,0,0,0,0,0,0,
123,20220104,180.28,177.35,181.03,176.8,99310448,17327499264.0,5.106,2.681,101.68863909542912,99.00099635459816,1.2628235843964006,0,0,0,0,0,0,0,0,
124,20220105,177.26,172.57,177.89,171.73,94537488,16689200128.0,5.124,2.321,99.04776448192231,97.8674107238721,-1.13358563072606,0,0,0,0,0,0,0,0,
125,20220106,170.35,169.65,172.9,169.32,96903648,16775431168.0,5.098,1.859,95.09093703717201,94.5978400476184,-3.269570676253693,0,0,0,0,0,0,0,0,
126,20220107,170.54,169.82,171.73,168.695,87621768,14953635840.0,5.071,1.484,91.6154897245444,90.51280845266525,-4.085031594953151,0,0,0,0,0,0,0,0,
127,20220110,166.73,169.84,170.6,165.84,106765552,17823000576.0,5.043,1.173,88.49701257473876,85.87400517785255,-4.638803274812702,0,0,0,0,0,0,0,0,
128,20220111,169.97,172.73,172.88,168.54,76138320,13197400064.0,5.051,1.066,87.23270581114085,83.0249316786444,-2.8490734992081457,0,0,0,0,0,0,0,0,
129,20220112,173.77,173.18,174.8,172.3,74805176,13127100416.0,5.06,0.992,86.32501183659627,81.36736949492854,-1.6575621837158678,0,0,0,0,0,0,0,0,
130,20220113,173.43,169.84,174.24,169.5,84505792,14702126080.0,5.02,0.748,83.71831000386774,78.65334835819405,-2.7140211367344875,0,0,0,0,0,0,0,0,
131,20220114,168.99,170.72,171.417,167.95,80440792,13844899840.0,4.99,0.594,81.85015089240059,76.34960277729365,-2.3037455809003973,0,0,0,0,0,0,0,0,
132,20220118,169.16,167.45,170.72,167.04,91168728,15507099648.0,4.914,0.296,78.43348021013907,72.3764652213969,-3.9731375558967557,0,0,0,0,0,0,0,0,
133,20220119,167.65,163.88,168.67,162.71,94814992,15943750656.0,4.79,-0.125,72.98866181044036,66.12780971208527,-6.248655509311632,0,0,0,0,0,0,0,0,
134,20220120,164.63,162.16,167.26,159.91,91420512,15077300224.0,4.646,-0.541,67.17573994291277,58.69550049407448,-7.432309218010786,0,0,1,0,0,0,0,0,
135,20220121,162.065,160.06,163.95,159.15,122848856,20126832640.0,4.478,-0.968,60.374460005258015,50.363642933663954,-8.331857560410526,0,0,0,0,0,0,0,0,
136,20220124,157.67,159.27,160.81,152.4,162706688,25750999040.0,4.306,-1.328,52.80832539778396,43.51494009215959,-6.8487028415043625,0,0,0,0,0,0,0,0,
137,20220125,156.63,157.43,160.33,154.66,115798368,18322100224.0,4.115,-1.687,44.12085710372506,36.97436499478103,-6.540575097378564,0,0,0,0,0,0,0,0,
138,20220126,161.15,157.34,161.96,155.72,108275312,17386100736.0,3.93,-1.95,36.375021776116085,31.202129767494014,-5.7722352272870125,0,0,0,0,0,0,0,0,
139,20220127,160.1,156.87,165.98,155.59,121954640,19680595968.0,3.747,-2.154,29.228824407757884,26.055113651902104,-5.14701611559191,0,0,0,0,0,0,0,0,
140,20220128,163.36,167.98,168.47,159.55,179935664,29782200320.0,3.721,-1.708,30.359330116394688,27.06663908515253,1.0115254332504264,0,0,0,0,0,0,0,0,
141,20220131,167.81,172.43,172.54,167.25,115541592,19962699776.0,3.754,-1.107,34.4215216874226,32.34342997176627,5.276790886613739,0,0,0,0,0,0,0,0,
142,20220201,171.66,172.26,173.03,170.0,86213912,14975314944.0,3.78,-0.633,38.00461922940741,38.6632748188825,6.319844847116229,1,0,0,1,1,0,0,0,
143,20220202,172.395,173.49,173.52,171.06,84914256,14847513600.0,3.817,-0.191,42.08633738772758,45.369981003137596,6.706706184255097,0,0,0,0,0,0,0,0,
144,20220203,172.13,170.55,173.8,170.13,89418072,15194800128.0,3.81,0.002,43.81980235790493,50.04173825170169,4.6717572485640915,0,0,0,0,0,0,0,0,
145,20220204,169.55,170.26,172.04,167.89,82465400,14195000320.0,3.796,0.138,45.2232630742233,53.28271427631968,3.240976024617993,1,0,0,1,1,0,0,0,
146,20220207,170.73,169.53,171.78,168.83,77251200,13325649920.0,3.771,0.204,46.03480492520967,55.18197249515137,1.8992582188316902,0,0,0,0,0,0,0,0,
147,20220208,169.6,172.7,173.22,169.24,74829216,12977600512.0,3.786,0.418,48.91911033926081,57.84414624736509,2.662173752213718,0,0,0,0,0,0,0,0,
148,20220209,173.92,174.15,174.63,172.7,71285040,11839200256.0,3.817,0.654,52.49727900706486,61.13314807984176,3.2890018324766714,0,0,0,0,0,0,0,0,
149,20220210,172.01,169.99,174.14,169.37,90865896,15411999744.0,3.788,0.614,52.94169625673101,62.2735628662012,1.1404147863594432,0,0,0,0,0,0,0,0,
150,20220211,170.2,166.51,170.88,165.93,98670688,16786219008.0,3.71,0.394,51.04362783500184,60.81784356603907,-1.45571930016213,0,0,0,0,0,0,0,0,
151,20220214,165.24,166.75,167.43,163.12,86185528,14507146240.0,3.636,0.229,49.5425835454717,58.60642148631712,-2.211422079721956,0,0,1,0,0,1,0,0,-0.011070110701106972
152,20220215,168.84,170.66,170.74,168.201,64286320,10730099712.0,3.617,0.301,50.84758852444179,58.16535804978618,-0.44106343653093916,0,0,0,0,0,0,0,0,
153,20220216,169.72,170.42,171.205,167.95,61177400,10470099968.0,3.593,0.341,51.881662010674006,58.26667873050171,0.10132068071553135,0,0,0,0,0,0,0,0,
154,20220217,168.9,166.75,170.42,166.37,69589344,11807299584.0,3.518,0.177,50.38180726672351,56.81802281270191,-1.4486559177997975,0,0,0,0,0,0,0,0,
155,20220218,167.69,165.17,168.28,164.08,82870690,13853100032.0,3.423,-0.035,48.019431198010864,54.202953915166475,-2.615068897535437,0,0,0,0,0,0,0,0,
156,20220222,162.85,162.19,165.588,160.04,91162760,14974400512.0,3.29,-0.355,43.95714651182172,49.92900660918977,-4.273947305976705,0,0,1,0,0,0,0,0,
157,20220223,163.41,157.94,164.11,156.97,90009248,14510300160.0,3.105,-0.82,37.538095419263016,43.37890344525891,-6.5501031639308565,0,0,0,0,0,0,0,0,
158,20220224,150.45,160.61,160.63,149.87,141147536,22235899904.0,2.964,-1.033,34.754568220135624,39.27544122528835,-4.103462219970567,0,0,0,0,0,0,0,0,
159,20220225,161.71,162.72,162.87,158.46,91974224,15056917504.0,2.858,-1.076,33.62263910580069,38.25351924931472,-1.0219219759736262,0,0,0,0,0,0,0,0,
160,20220228,160.93,162.99,163.25,159.61,95056632,15607900160.0,2.759,-1.082,32.83604945664062,38.67151711524896,0.4179978659342396,0,0,0,0,0,0,0,0,
161,20220301,162.565,161.07,164.38,159.9,83474424,13702947840.0,2.637,-1.172,31.0144608871408,38.57494169583143,-0.09657541941753323,0,0,0,0,0,0,0,0,
162,20220302,162.26,164.43,165.198,160.51,79724752,13202499584.0,2.566,-1.052,31.510323422148105,40.20499431479949,1.6300526189680653,0,0,0,0,0,0,0,0,
163,20220303,166.34,164.1,166.6,160.07,76678440,12718399488.0,2.492,-0.963,31.807506325295762,42.05948310915056,1.8544887943510702,0,0,0,0,0,0,0,0,
164,20220304,162.36,161.04,163.685,159.98,83819592,13675499520.0,2.379,-1.039,30.251220642550294,42.149072790476595,0.08958968132603218,0,0,1,1,0,0,0,0,
165,20220307,161.23,157.17,162.835,155.89,96418848,15505399808.0,2.218,-1.286,26.546838248798437,39.3805724418788,-2.7685003485977973,0,0,0,0,0,0,0,0,
166,20220308,156.69,155.31,160.73,153.71,131148280,20776599552.0,2.04,-1.559,22.16526695566813,34.72586208479248,-4.654710357086316,0,0,0,0,0,0,0,0,
167,20220309,159.345,160.82,161.24,157.33,91454904,14766900224.0,1.945,-1.465,21.706915369424905,32.8598295785426,-1.86603250624988,0,0,0,0,0,0,0,0,
168,20220310,158.07,156.39,159.87,153.88,105342032,16592600064.0,1.794,-1.603,19.098455431944785,29.617202526143387,-3.2426270523992144,0,0,0,0,0,0,0,0,
169,20220311,156.8,152.6,159.72,152.21,96970104,15110200320.0,1.599,-1.886,14.490544006674611,24.137608404663226,-5.479594121480162,0,0,0,0,0,0,0,0,
170,20220314,149.32,148.49,153.45,148.06,108732112,16430000128.0,1.358,-2.296,8.675336733822334,17.037980426641113,-7.099627978022113,0,0,0,0,0,0,0,0,
171,20220315,148.77,152.96,153.405,146.82,92964304,14264368128.0,1.19,-2.353,7.464702707324747,12.845116115889127,-4.192864310751986,0,0,0,0,0,0,0,0,
172,20220316,154.92,157.46,158.02,152.388,102300160,16128470016.0,1.092,-2.134,9.548083497764623,12.319830373272282,-0.5252857426168447,0,0,0,0,0,0,0,0,
173,20220317,156.48,158.49,158.49,155.595,75615376,12029299712.0,1.012,-1.881,12.193031722523259,13.752367743063587,1.432537369791305,0,0,0,0,0,0,0,0,
174,20220318,158.38,161.85,162.37,157.05,123972992,20159264768.0,0.982,-1.486,16.985981898085015,17.509863156951056,3.7574954138874688,0,0,0,1,0,0,0,0,
