,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
532,2023082209,109.4,105.66,109.62,104.88,47335088,5028314624.0,3.161,-1.218,-3.342185925734185,-3.335403611651188,-1.1777780241343265,0,0,0,0,0,0,0,0,
533,2023082309,105.65,109.43,113.89,105.01,54656328,5940185088.0,3.078,-1.08,-0.3191313469480974,-2.271439027940417,1.0639645837107707,0,0,0,0,0,0,0,0,
534,2023082409,111.06,101.8,113.45,100.9,109179128,11247272960.0,2.894,-1.355,-3.1949448188697147,-4.702212956021015,-2.4307739280805976,0,0,0,0,0,0,0,0,
535,2023082509,101.165,102.25,104.109,99.638,74858164,7598353920.0,2.725,-1.528,-4.404953613959961,-7.208367311539348,-2.5061543555183334,0,0,0,0,0,0,0,0,
536,2023082809,103.47,102.61,104.02,100.96,55386804,5668443136.0,2.567,-1.624,-5.119863372479301,-9.438489872035845,-2.230122560496497,0,0,0,0,0,0,0,0,
537,2023082909,102.11,105.92,106.55,101.7,50850288,5335953920.0,2.462,-1.506,-3.1533586129599342,-9.555396821619496,-0.116906949583651,0,0,0,0,0,0,0,0,
538,2023083009,105.402,106.59,107.64,104.54,55166076,5829593088.0,2.369,-1.36,-0.8064583329630182,-8.558061555084791,0.9973352665347051,0,0,0,0,0,0,0,0,
539,2023083109,106.19,105.72,108.055,104.88,58918968,6245212160.0,2.269,-1.273,0.7035474525246741,-7.723673260101862,0.8343882949829293,0,0,0,1,0,0,0,0,
540,2023090109,107.0,109.45,110.02,105.79,54856148,5952590848.0,2.222,-0.995,4.956251510953194,-4.976750813373172,2.7469224467286892,0,0,0,0,0,0,0,0,
541,2023090509,109.0,110.78,111.81,106.3,66042192,7229827584.0,2.195,-0.697,9.822279214994438,-1.1370689863804557,3.8396818269927167,0,0,0,0,0,0,0,0,
542,2023090609,110.56,109.28,111.3,108.231,47736700,5221715968.0,2.146,-0.533,13.074996040516723,1.8776083435687099,3.0146773299491656,0,0,0,0,0,0,0,0,
543,2023090709,106.14,106.59,108.75,105.155,49080148,5227986432.0,2.063,-0.539,13.977556278500217,2.776229678494076,0.898621334925366,0,0,0,0,0,0,0,0,
544,2023090809,107.02,106.09,109.65,105.75,46271560,4970830848.0,1.976,-0.562,14.444698086290813,2.4684424947688512,-0.3077871837252246,0,0,0,0,0,0,0,0,
545,2023091109,107.315,105.32,107.54,103.025,50611284,5277630976.0,1.882,-0.612,14.316563076992395,1.2243009946469954,-1.2441415001218559,0,0,1,0,0,0,0,0,
546,2023091209,104.2,105.31,106.72,103.189,44413572,4679683584.0,1.792,-0.645,14.234081831283149,-0.3036234140758154,-1.5279244087228108,0,0,0,0,0,0,0,0,
547,2023091309,105.1,107.71,108.7,104.5,44702256,4800163840.0,1.738,-0.537,16.022009832850244,-0.4943367217834975,-0.19071330770768213,0,0,0,0,0,0,0,0,
548,2023091409,108.43,106.63,109.062,106.269,45920612,4925976576.0,1.671,-0.501,16.830578606957644,-0.8058623301366481,-0.3115256083531506,0,0,0,0,0,0,0,0,
549,2023091509,106.07,101.49,106.75,101.25,71103616,7284578304.0,1.537,-0.735,13.67968433957624,-3.9572170539376543,-3.1513547238010062,0,0,0,0,0,0,0,0,
550,2023091809,100.815,102.37,102.961,99.709,49061312,4985560064.0,1.422,-0.861,11.575199212568293,-7.343628104453586,-3.3864110505159317,0,0,0,0,0,0,0,0,
551,2023091909,101.75,101.61,102.837,100.729,41704112,4239827200.0,1.302,-0.988,9.161532414013422,-10.99266417432807,-3.6490360698744837,0,0,0,0,0,0,0,0,
552,2023092009,102.36,100.34,103.862,100.09,55180576,5627657728.0,1.17,-1.14,6.088480715295269,-15.018871277298999,-4.026207102970929,0,0,0,0,0,0,0,0,
553,2023092109,98.6,96.11,100.01,95.7,59704336,5789881344.0,0.988,-1.463,3.1329290875597735,-19.00704300424026,-3.9881717269412604,0,0,0,0,0,0,0,0,
554,2023092209,96.92,96.2,98.41,95.61,52169396,5049848832.0,0.817,-1.692,0.6676714014531058,-22.493890073472315,-3.4868470692320557,0,0,0,0,0,0,0,0,
555,2023092509,95.95,97.38,97.8,94.72,43223748,4156474880.0,0.671,-1.786,-0.17009573025724478,-24.286611959336994,-1.7927218858646796,0,0,0,0,0,0,0,0,
556,2023092609,96.5,95.96,97.8,95.34,42866460,4126557184.0,0.513,-1.91,-1.7620121669469597,-26.02032779933276,-1.7337158399957673,0,0,0,0,0,0,0,0,
557,2023092709,96.82,98.07,99.205,96.25,51261504,5010724352.0,0.393,-1.873,-1.7820222986669734,-25.906355242250484,0.1139725570822776,0,0,0,0,0,0,0,0,
558,2023092809,97.94,102.76,104.18,97.5,72542056,7402032128.0,0.342,-1.576,1.237722071511044,-21.739323183469025,4.167032058781459,0,0,0,0,0,0,0,0,
559,2023092909,104.69,102.82,104.97,102.57,56078640,5805555712.0,0.295,-1.32,4.019668851720866,-16.477580986132097,5.261742197336929,0,0,0,1,0,0,0,0,
560,2023100209,102.21,103.27,103.83,101.74,45118576,4623079936.0,0.256,-1.081,6.83077351396787,-10.956500105677492,5.521080880454605,0,0,0,0,0,0,0,0,
561,2023100309,101.796,100.08,103.288,99.18,48116980,4853898752.0,0.177,-1.046,7.348785314768151,-8.249606823917759,2.706893281759733,0,0,0,0,0,0,0,0,
562,2023100409,100.65,104.07,104.39,99.37,51023248,5211547136.0,0.155,-0.798,11.282204125909054,-3.9768714830108536,4.272735340906905,0,0,0,0,0,0,0,0,
563,2023100509,103.405,102.91,104.2,100.31,51789732,5287410688.0,0.119,-0.655,14.404451303179478,-0.55068048591977,3.4261909970910835,0,0,0,0,0,0,0,0,
564,2023100609,102.16,107.24,107.85,100.83,64864076,6833291264.0,0.144,-0.31,20.608145300716956,5.384381130792008,5.935061616711778,0,0,0,0,0,0,0,0,
565,2023100909,106.01,106.97,107.3,104.82,39593192,4194911232.0,0.163,-0.051,25.93726994312169,11.37548733884546,5.991106208053452,0,0,0,0,0,0,0,0,
566,2023101009,107.49,109.01,110.09,106.42,57105528,6195546624.0,0.209,0.258,33.65857572611779,18.316633895718724,6.941146556873264,0,0,0,0,0,0,0,0,
567,2023101109,109.14,108.31,110.05,106.958,51085636,5523481600.0,0.242,0.458,41.413578554645184,24.372183731875765,6.0555498361570415,0,0,0,1,0,0,0,0,
568,2023101209,108.4,108.79,111.29,107.54,60959432,6668160000.0,0.28,0.634,48.85408893925464,30.098994594614737,5.726810862738972,0,0,0,0,0,0,0,0,
569,2023101309,108.65,105.09,109.05,104.75,52925932,5607816192.0,0.265,0.57,51.75604120108394,33.078994284582805,2.979999689968068,0,0,0,0,0,0,0,0,
570,2023101609,105.42,106.46,107.45,104.59,42464512,4499256832.0,0.27,0.584,55.66015062265506,35.88114820073679,2.8021539161539835,0,0,0,0,0,0,0,0,
571,2023101709,103.54,105.14,106.46,101.715,49642112,5190618624.0,0.256,0.519,57.769924766148094,37.194809135617746,1.3136609348809571,0,0,0,0,0,0,0,0,
572,2023101809,103.38,102.17,104.76,101.755,50449952,5180651008.0,0.203,0.307,56.631722048258396,35.4364624238421,-1.7583467117756442,0,0,0,0,0,0,0,0,
573,2023101909,103.81,102.4,105.555,101.77,52734200,5461886464.0,0.155,0.15,55.790541512085795,32.936089552031675,-2.500372871810427,0,0,0,0,0,0,0,0,
574,2023102009,102.28,101.81,104.26,101.5,61331160,6278219264.0,0.103,-0.005,54.39969026697855,29.900018438447432,-3.036071113584242,0,0,0,0,0,0,0,0,
575,2023102309,100.812,100.01,102.39,99.38,50817440,5136091136.0,0.029,-0.22,51.31623457517208,25.543327109075918,-4.356691329371515,0,0,1,0,0,0,0,0,
576,2023102409,100.97,101.67,102.1,99.39,51982920,5089287680.0,-0.019,-0.297,50.17967584179368,22.730208809841997,-2.8131182992339205,0,0,0,0,0,0,0,0,
577,2023102509,100.42,96.055,101.32,93.61,53424476,5206937088.0,-0.139,-0.646,44.503143692411726,16.856708977752533,-5.873499832089465,0,0,0,0,0,0,0,0,
578,2023102609,95.99,93.67,97.45,93.14,49896360,4719516672.0,-0.285,-1.033,37.608682989798034,9.049914239001453,-7.80679473875108,0,0,0,0,0,0,0,0,
579,2023102709,95.8,96.43,97.33,94.7,52458652,5042232832.0,-0.385,-1.178,34.31630755404337,3.4210699893074548,-5.628844249693998,0,0,0,0,0,0,0,0,
580,2023103009,96.14,96.18,97.78,94.74,43716640,4180517120.0,-0.482,-1.288,31.118178471950962,-1.058167724197176,-4.479237713504631,0,0,0,0,0,0,0,0,
581,2023103109,96.235,98.5,99.54,93.8,79547128,7713041920.0,-0.542,-1.237,30.641131729166048,-2.780175487353631,-1.722007763156455,0,0,0,0,0,0,0,0,
582,2023110109,98.58,108.04,108.84,95.74,138641520,14570916864.0,-0.469,-0.686,39.98238350178017,4.071095824164871,6.851271311518502,0,0,0,0,0,0,0,0,
583,2023110209,107.96,107.83,109.405,105.96,71376952,7692456448.0,-0.403,-0.258,48.081689182095374,13.248480088739555,9.177384264574684,0,0,0,1,0,0,0,0,
584,2023110309,109.05,112.25,113.36,107.06,65724456,7297895936.0,-0.281,0.308,58.29799553557483,24.4700901460146,11.221610057275043,0,0,0,0,0,0,0,0,
585,2023110609,112.6,111.75,113.33,110.27,49270368,5494129152.0,-0.172,0.72,66.88589806681388,34.983206378543585,10.513116232528986,0,0,0,1,0,0,0,0,
586,2023110709,111.86,113.45,114.65,111.0,50550152,5570889216.0,-0.047,1.119,74.9342355737133,44.520117651265025,9.53691127272144,0,0,0,0,0,0,0,0,
587,2023110809,113.55,113.59,115.27,112.9,41880608,4710091776.0,0.074,1.423,81.64719039677036,52.39520489626193,7.875087244996905,0,0,0,0,0,0,0,0,
588,2023110909,114.095,113.49,115.81,113.0,61146864,6983233024.0,0.186,1.636,87.03777804480265,58.44830997701041,6.05310508074848,0,0,0,0,0,0,0,0,
589,2023111009,114.35,118.59,119.654,112.68,75204072,8861359104.0,0.36,2.046,92.93457205044803,64.04588626783763,5.59757629082722,0,0,0,0,0,0,0,0,
590,2023111309,118.34,116.79,119.01,116.02,46741888,5454873600.0,0.5,2.245,96.7874735154565,67.92624795393711,3.8803616860994765,0,0,0,0,0,0,0,0,
591,2023111409,119.7,119.88,122.11,116.79,61017448,7335511040.0,0.673,2.532,100.70329988201674,71.24894622958143,3.3226982756443277,0,0,0,0,0,0,0,0,
592,2023111509,120.54,118.0,121.6,116.91,59555592,7049351680.0,0.81,2.625,102.83687214618443,73.12711977295228,1.878173543370849,0,0,0,0,0,0,0,0,
593,2023111609,117.2,119.83,120.72,116.485,49661872,5918938624.0,0.963,2.758,105.82701446330037,75.22019857052608,2.0930787975737957,0,0,0,0,0,0,0,0,
594,2023111709,119.64,120.62,121.48,118.84,38538696,4638403584.0,1.118,2.867,108.89203625360614,77.58742053083402,2.367221960307944,0,0,0,0,0,0,0,0,
595,2023112009,120.7,121.53,121.92,120.109,43173924,5227081216.0,1.275,2.962,112.09994623522762,80.33366470564148,2.746244174807458,0,0,0,0,0,0,0,0,
596,2023112109,120.54,119.16,121.43,116.93,41064752,4888843776.0,1.39,2.875,113.26826018182518,81.88175774224975,1.5480930366082646,0,0,1,1,0,0,0,0,
597,2023112209,120.0,122.51,124.703,118.26,56894488,6988432384.0,1.543,2.943,114.79999666262616,83.38060948424119,1.4988517419914444,0,0,1,1,0,0,0,0,
598,2023112409,122.03,122.31,123.205,121.4,19001008,2327584512.0,1.683,2.948,115.91655333691325,84.66279721368332,1.2821877294421284,0,0,0,0,0,0,0,0,
599,2023112709,122.07,122.65,123.88,121.71,32743006,4026544640.0,1.818,2.931,116.99062867489891,85.96287108202459,1.300073868341272,0,0,1,1,0,0,0,0,
600,2023112809,121.98,122.01,122.6,120.81,32047064,3900872960.0,1.936,2.846,117.43433084461684,86.92716916897504,0.9642980869504498,0,0,0,0,0,0,0,0,
601,2023112909,123.98,123.85,125.7,122.02,37876316,4707307008.0,2.07,2.839,118.25016675277281,88.1494368702296,1.2222677012545518,0,0,0,0,0,0,0,0,
602,2023113009,123.61,121.16,124.75,119.7,45131044,5465437696.0,2.158,2.657,117.27558902082677,88.25420471407467,0.10476784384508164,0,0,0,0,0,0,0,0,
603,2023120109,119.88,121.39,121.5,118.672,37048000,4461429248.0,2.243,2.492,116.42287070726657,88.12697463731362,-0.1272300767610517,0,0,0,0,0,0,0,0,
604,2023120409,119.75,118.57,121.39,116.39,39854416,4700539904.0,2.283,2.185,113.8930355591674,86.76133962649891,-1.3656350108147137,0,0,0,0,0,0,0,0,
605,2023120509,117.43,118.38,119.52,116.475,39191564,4563501056.0,2.317,1.908,111.41867601882619,85.0726803138936,-1.68865931260531,0,0,0,0,0,0,0,0,
606,2023120609,120.69,116.82,122.81,116.39,60599028,7204473344.0,2.325,1.586,108.19692324359539,82.807557269207,-2.2651230446866037,0,0,0,0,0,0,0,0,
607,2023120709,120.785,128.37,129.1,118.37,118579096,14857874432.0,2.488,1.914,110.05693499176438,84.1533258760492,1.3457686068421992,0,0,1,1,0,0,0,0,
608,2023120809,129.54,128.92,130.98,126.925,89341016,11500848128.0,2.646,2.174,110.97104992561205,86.24258243619968,2.0892565601504884,0,0,0,0,0,0,0,0,
609,2023121109,130.56,134.41,134.938,128.41,98668280,13125304320.0,2.867,2.633,112.49337891729996,89.14171793632396,2.899135500124274,0,0,0,1,0,0,0,0,
610,2023121209,132.25,137.61,139.88,131.98,111677824,15266224128.0,3.117,3.123,113.07161073454634,91.61410711840254,2.4723891820785866,0,0,0,0,0,0,0,0,
611,2023121309,137.97,138.19,139.215,136.05,70651600,9716883456.0,3.357,3.494,113.73278486294777,93.92200602829918,2.307898909896636,0,0,0,0,0,0,0,0,
612,2023121409,138.89,138.0,141.82,135.79,76115176,10558132224.0,3.579,3.728,113.42296532131536,95.37378342884367,1.4517774005444863,0,0,0,0,0,0,0,0,
613,2023121509,139.52,139.15,140.7,137.15,70214576,9733815296.0,3.801,3.922,113.51001864478582,96.72534787702789,1.3515644481842202,0,0,0,0,0,0,0,0,
614,2023121809,139.15,138.9,140.15,137.71,45199452,6263341568.0,4.003,4.009,113.40328372526918,97.85075124890531,1.1254033718774252,0,0,0,0,0,0,0,0,
615,2023121909,138.57,140.15,143.44,138.012,63739780,8957264896.0,4.208,4.09,113.12041779093278,98.74871652856697,0.897965279661662,0,0,0,0,0,0,0,0,
616,2023122009,139.0,135.47,139.96,135.41,54671716,7485474816.0,4.334,3.856,111.00849592759548,98.10913502097877,-0.6395815075882041,0,0,0,0,0,0,0,0,
617,2023122109,138.14,139.91,139.96,136.32,47179360,6552830464.0,4.51,3.855,110.7363737617967,98.04226781855736,-0.06686720242140609,0,0,0,0,0,0,0,0,
618,2023122209,140.48,139.6,141.1,138.33,35396584,4938343936.0,4.668,3.788,110.3026350731821,98.03709492722054,-0.005172891336826524,0,0,1,0,0,0,0,0,
619,2023122609,140.07,143.41,143.95,139.82,47157432,6688637440.0,4.865,3.884,111.10095107069657,99.37438818301925,1.3372932557987127,0,0,0,0,0,0,0,0,
620,2023122709,144.72,146.07,146.23,143.222,49033420,7091231232.0,5.082,4.047,111.88782547484391,101.27547690028523,1.9010887172659778,0,0,0,0,0,0,0,0,
621,2023122809,146.8,148.76,150.35,145.97,63800680,9496163328.0,5.319,4.261,112.04555982837701,102.74805181441762,1.4725749141323945,0,0,0,1,0,0,0,0,
622,2023122909,149.5,147.41,150.977,147.2,62079184,9234065408.0,5.521,4.303,111.469572841863,103.26528965938728,0.5172378449696566,0,0,0,0,0,0,0,0,
623,2024010209,144.28,138.58,147.93,137.44,64902028,9031787520.0,5.587,3.82,107.92445170943782,100.19169964896376,-3.0735900104235157,0,0,0,0,0,0,0,0,
624,2024010309,135.71,135.32,138.58,133.76,62038688,8367963136.0,5.601,3.225,103.6150361511873,94.41141487189188,-5.780284777071884,0,0,0,0,0,0,0,0,
625,2024010409,134.3,136.01,137.68,133.3,58610288,7998470144.0,5.619,2.756,99.95391446602343,88.39208738884108,-6.019327483050802,0,0,1,0,0,0,0,0,
626,2024010509,136.78,138.58,141.01,134.6,69657680,9671813120.0,5.666,2.488,97.36201389180795,83.90668131519692,-4.485406073644157,0,0,0,0,0,0,0,0,
627,2024010809,140.36,146.18,147.126,137.0,71756912,10394137600.0,5.809,2.641,97.2688438764655,83.54847103438428,-0.35821028081264217,0,0,0,0,0,0,0,0,
628,2024010909,145.95,149.26,149.845,145.01,67875664,10023198720.0,5.98,2.887,98.44175901115108,86.05664435335852,2.5081733189742437,0,0,0,0,0,0,0,0,
629,2024011009,150.07,148.54,150.82,146.66,56951244,8425913344.0,6.127,3.003,99.05610275863464,89.2118295838595,3.155185230500976,0,0,0,1,0,0,0,0,
630,2024011109,148.52,148.02,150.319,143.74,62764596,9195222016.0,6.254,3.027,99.29937240826689,92.17276837649595,2.9609387926364548,0,0,0,0,0,0,0,0,
631,2024011209,148.04,146.56,148.719,145.007,48293088,7077450752.0,6.349,2.931,98.69094071760571,94.19438491152971,2.0216165350337576,0,0,0,0,0,0,0,0,
632,2024011609,150.36,158.74,160.87,144.94,112711432,17532811264.0,6.598,3.451,99.47496280592986,96.77716785023402,2.5827829387043124,0,0,0,0,0,0,0,0,
633,2024011709,158.45,160.17,160.66,154.515,104084984,16439938048.0,6.847,3.886,100.70772924727589,99.72110737413047,2.9439395238964465,0,0,0,0,0,0,0,0,
634,2024011809,166.2,162.67,168.49,158.325,131864888,21524498432.0,7.11,4.304,99.92979475563962,101.17712195222599,1.4560145780955196,0,0,0,0,0,0,0,0,
635,2024011909,165.8,174.23,176.26,162.24,140367920,23593361408.0,7.508,5.174,100.6749592999839,103.05552893292642,1.8784069807004329,0,0,0,0,0,0,0,0,
636,2024012209,174.39,168.18,177.21,164.19,122973824,20657246208.0,7.795,5.471,99.11656366891961,103.26456443839308,0.20903550546665883,0,0,0,0,0,0,0,0,
637,2024012309,166.5,168.42,170.7,164.34,76830456,12885758976.0,8.064,5.644,97.77238102655159,102.93405296028138,-0.3305114781117027,0,0,0,0,0,0,0,0,
638,2024012409,172.55,178.29,180.53,170.65,125516384,22142855168.0,8.443,6.218,98.64171700937294,103.94747637542295,1.013423415141574,0,0,0,0,0,0,0,0,
639,2024012509,183.41,180.33,184.7,173.81,127171448,22816434176.0,8.822,6.69,98.83435300902642,104.94712621824642,0.999649842823473,0,0,0,0,0,0,0,0,
640,2024012609,175.29,177.25,181.21,173.46,107381168,19039627264.0,9.131,6.811,98.11721593865602,105.27893098482602,0.33180476657959446,0,0,0,0,0,0,0,0,
641,2024012909,178.77,177.83,180.64,174.47,89384448,15758772224.0,9.423,6.847,97.61467275200286,105.44034411905271,0.16141313422669157,0,0,0,0,0,0,0,0,
642,2024013009,176.13,172.06,178.63,160.15,122265680,21154451456.0,9.612,6.487,95.52853027008717,103.92008022286295,-1.5202638961897605,0,0,0,0,0,0,0,0,
643,2024013109,165.74,167.69,171.24,159.72,133157264,22219208704.0,9.725,5.895,92.42630577593974,100.8030076511384,-3.117072571724549,0,0,0,0,0,0,0,0,
644,2024020109,169.27,170.48,174.467,165.933,91576688,15338568704.0,9.86,5.502,90.42747169172782,97.85843756520285,-2.9445700859355526,0,0,1,0,0,0,0,0,
645,2024020209,173.79,177.66,178.986,172.207,82134264,14515780608.0,10.077,5.497,90.64504124070584,97.11279994011755,-0.7456376250852941,0,0,0,0,0,0,0,0,
646,2024020509,179.09,174.23,180.59,171.145,76349248,13283273728.0,10.228,5.244,89.87072960306836,96.3414653551248,-0.7713345849927578,0,0,0,0,0,0,0,0,
647,2024020609,173.15,167.88,175.7,165.53,68854128,11571385344.0,10.276,4.648,87.3965747065528,94.0070175566978,-2.334447798426993,0,0,0,0,0,0,0,0,
648,2024020709,169.47,170.94,171.98,167.2,53665416,9146070016.0,10.354,4.283,86.04398757075191,92.19754577872179,-1.8094717779760146,0,0,0,0,0,0,0,0,
649,2024020809,170.33,169.35,172.11,168.62,43505864,7402043904.0,10.398,3.86,84.39339928328565,90.29698053193378,-1.9005652467880054,0,0,0,0,0,0,0,0,
