,dt_period,open,close,high,low,vol,turnover,m1,m2,jw,R6,duanxian,long,short,long_stop,short_stop,long_in,long_out,short_in,short_out,profit_rate
205,2022050309,36.954,37.104,37.903,36.094,142782816,5441430016.0,-4.318,-2.508,14.909487592148963,-13.551733559503234,-2.2080367608736537,0,0,0,0,0,0,0,0,
206,2022050409,37.254,40.904,41.194,35.305,219403408,8576965632.0,-4.338,-2.286,15.025905804336801,-13.343207615895153,0.2085259436080804,0,0,0,0,0,0,0,0,
207,2022050509,39.264,34.624,40.294,33.306,227776336,8361081856.0,-4.438,-2.409,11.249845611942632,-15.16183214778603,-1.818624531890876,0,0,0,0,0,0,0,0,
208,2022050609,33.854,33.374,35.254,31.894,233397168,8104200192.0,-4.546,-2.539,7.992930426776269,-17.453443375761978,-2.291611227975949,0,0,0,0,0,0,0,0,
209,2022050909,31.324,29.284,32.104,28.784,210209856,6639989760.0,-4.699,-2.819,4.484112790553638,-20.27017099121514,-2.8167276154531606,0,0,0,0,0,0,0,0,
210,2022051009,31.479,30.334,31.819,29.064,231789792,7347539968.0,-4.826,-2.947,2.0236415742981535,-22.60818159911092,-2.3380106078957823,0,0,0,0,0,0,0,0,
211,2022051109,29.614,27.524,31.924,27.254,264765952,8026409984.0,-4.979,-3.154,-0.8574771507128247,-25.14317186558702,-2.5349902664761004,0,0,0,0,0,0,0,0,
212,2022051209,26.194,27.294,28.614,25.459,295496480,8213259776.0,-5.123,-3.286,-2.5425251618330265,-26.923633349528387,-1.780461483941366,0,0,0,0,0,0,0,0,
213,2022051309,28.614,30.394,30.754,28.154,197974048,6127519744.0,-5.213,-3.186,-2.342718438874492,-27.106755455434055,-0.18312210590566735,0,0,0,0,0,0,0,0,
214,2022051609,29.894,29.414,30.654,28.974,159194048,4922610688.0,-5.306,-3.117,-2.6142799565075165,-27.097527185051234,0.00922827038282037,0,0,0,0,0,0,0,0,
215,2022051709,31.194,31.724,31.964,30.009,153990704,4970356224.0,-5.359,-2.903,-1.5732409238586555,-26.133277839272466,0.964249345778768,0,0,0,1,0,0,0,1,0.385491216655823
216,2022051809,30.224,26.914,31.414,25.994,164052560,4833421824.0,-5.47,-2.948,-3.117744389033213,-26.81679312150675,-0.683515282234282,0,0,0,0,0,0,0,0,
217,2022051909,26.304,26.344,27.769,25.214,196007776,5462580224.0,-5.577,-2.975,-4.606778607770195,-28.17587538945041,-1.3590822679436627,0,0,0,0,0,0,0,0,
218,2022052009,27.414,26.104,27.904,23.694,229055600,6063150080.0,-5.678,-2.969,-5.2499887701616785,-29.2778125061339,-1.1019371166834873,0,0,0,0,0,0,0,0,
219,2022052309,26.414,27.454,27.744,25.764,170520320,4695699968.0,-5.749,-2.856,-5.080293417256655,-29.735578323819396,-0.4577658176854982,0,0,0,0,0,0,0,0,
